FacID,state_zip,lat,lon,deaths_coef_2,deaths_coef_2_all
8,DC,33.6446,-87.2003,7.741006441,3488.581916
8,Delaware,33.6446,-87.2003,9.772347776,3488.581916
8,Florida,33.6446,-87.2003,184.5070373,3488.581916
8,Georgia,33.6446,-87.2003,237.8344445,3488.581916
8,Iowa,33.6446,-87.2003,13.9520189,3488.581916
8,Idaho,33.6446,-87.2003,0.003371965,3488.581916
8,Illinois,33.6446,-87.2003,138.4988358,3488.581916
8,Indiana,33.6446,-87.2003,108.8551075,3488.581916
8,Kansas,33.6446,-87.2003,10.12743747,3488.581916
8,Kentucky,33.6446,-87.2003,107.5582731,3488.581916
8,Louisiana,33.6446,-87.2003,103.9554315,3488.581916
8,Massachusetts,33.6446,-87.2003,50.80564018,3488.581916
8,Maryland,33.6446,-87.2003,68.07422025,3488.581916
8,Maine,33.6446,-87.2003,8.792758654,3488.581916
8,Michigan,33.6446,-87.2003,94.59610452,3488.581916
8,Minnesota,33.6446,-87.2003,11.06436677,3488.581916
8,Missouri,33.6446,-87.2003,69.47011986,3488.581916
8,Mississippi,33.6446,-87.2003,250.6383146,3488.581916
8,Montana,33.6446,-87.2003,0.011424868,3488.581916
8,North Carolina,33.6446,-87.2003,196.0561979,3488.581916
8,North Dakota,33.6446,-87.2003,0.423864939,3488.581916
8,Nebraska,33.6446,-87.2003,3.310007585,3488.581916
8,New Hampshire,33.6446,-87.2003,8.526320988,3488.581916
8,New Jersey,33.6446,-87.2003,90.77730713,3488.581916
8,New Mexico,33.6446,-87.2003,0.493036443,3488.581916
8,Nevada,33.6446,-87.2003,0.001770189,3488.581916
8,New York,33.6446,-87.2003,168.6353413,3488.581916
8,Ohio,33.6446,-87.2003,178.1357755,3488.581916
8,Oklahoma,33.6446,-87.2003,23.24018449,3488.581916
8,Oregon,33.6446,-87.2003,1.03e-05,3488.581916
8,Pennsylvania,33.6446,-87.2003,190.2366199,3488.581916
8,Rhode Island,33.6446,-87.2003,9.454487631,3488.581916
8,South Carolina,33.6446,-87.2003,102.9459006,3488.581916
8,South Dakota,33.6446,-87.2003,0.996883571,3488.581916
8,Tennessee,33.6446,-87.2003,258.8413549,3488.581916
8,Texas,33.6446,-87.2003,121.9676322,3488.581916
8,Utah,33.6446,-87.2003,0.020991949,3488.581916
8,Virginia,33.6446,-87.2003,114.9064341,3488.581916
8,Vermont,33.6446,-87.2003,4.211083311,3488.581916
8,Washington,33.6446,-87.2003,0.003620428,3488.581916
8,Wisconsin,33.6446,-87.2003,33.04176475,3488.581916
8,West Virginia,33.6446,-87.2003,40.4592004,3488.581916
8,Wyoming,33.6446,-87.2003,0.012103162,3488.581916
10,Alabama,32.6017,-87.7811,258.0827233,2878.870164
10,Arkansas,32.6017,-87.7811,54.01543882,2878.870164
10,Arizona,32.6017,-87.7811,0.137629545,2878.870164
10,California,32.6017,-87.7811,0.019467318,2878.870164
10,Colorado,32.6017,-87.7811,0.350839608,2878.870164
10,Connecticut,32.6017,-87.7811,23.11724334,2878.870164
10,DC,32.6017,-87.7811,5.691966699,2878.870164
10,Delaware,32.6017,-87.7811,7.644994014,2878.870164
10,Florida,32.6017,-87.7811,184.9545905,2878.870164
10,Georgia,32.6017,-87.7811,193.2598218,2878.870164
10,Iowa,32.6017,-87.7811,11.81738163,2878.870164
10,Idaho,32.6017,-87.7811,0.00713805,2878.870164
10,Illinois,32.6017,-87.7811,105.5301014,2878.870164
10,Indiana,32.6017,-87.7811,80.26903462,2878.870164
10,Kansas,32.6017,-87.7811,10.07703432,2878.870164
10,Kentucky,32.6017,-87.7811,73.99263755,2878.870164
10,Louisiana,32.6017,-87.7811,144.6815309,2878.870164
10,Massachusetts,32.6017,-87.7811,35.52021424,2878.870164
10,Maryland,32.6017,-87.7811,51.69141199,2878.870164
10,Maine,32.6017,-87.7811,6.347096195,2878.870164
10,Michigan,32.6017,-87.7811,71.49153507,2878.870164
10,Minnesota,32.6017,-87.7811,10.40722175,2878.870164
10,Missouri,32.6017,-87.7811,57.66901225,2878.870164
10,Mississippi,32.6017,-87.7811,301.8033302,2878.870164
10,Montana,32.6017,-87.7811,0.01132113,2878.870164
10,North Carolina,32.6017,-87.7811,149.1553887,2878.870164
10,North Dakota,32.6017,-87.7811,0.355610166,2878.870164
10,Nebraska,32.6017,-87.7811,3.502873006,2878.870164
10,New Hampshire,32.6017,-87.7811,6.048533673,2878.870164
10,New Jersey,32.6017,-87.7811,66.55750834,2878.870164
10,New Mexico,32.6017,-87.7811,0.526731204,2878.870164
10,Nevada,32.6017,-87.7811,0.001912922,2878.870164
10,New York,32.6017,-87.7811,119.4778181,2878.870164
10,Ohio,32.6017,-87.7811,129.1269846,2878.870164
10,Oklahoma,32.6017,-87.7811,23.29555441,2878.870164
10,Oregon,32.6017,-87.7811,7.26e-07,2878.870164
10,Pennsylvania,32.6017,-87.7811,137.7004281,2878.870164
10,Rhode Island,32.6017,-87.7811,6.707663772,2878.870164
10,South Carolina,32.6017,-87.7811,83.97420022,2878.870164
10,South Dakota,32.6017,-87.7811,0.922330765,2878.870164
10,Tennessee,32.6017,-87.7811,175.2940477,2878.870164
10,Texas,32.6017,-87.7811,141.9647787,2878.870164
10,Utah,32.6017,-87.7811,0.026752385,2878.870164
10,Virginia,32.6017,-87.7811,88.02960791,2878.870164
10,Vermont,32.6017,-87.7811,3.10957589,2878.870164
10,Washington,32.6017,-87.7811,0.008634644,2878.870164
10,Wisconsin,32.6017,-87.7811,25.8098936,2878.870164
10,West Virginia,32.6017,-87.7811,28.66462983,2878.870164
10,Wyoming,32.6017,-87.7811,0.01798819,2878.870164
26,Alabama,33.2442,-86.4567,1145.541117,8129.87557
26,Arkansas,33.2442,-86.4567,108.2704832,8129.87557
26,Arizona,33.2442,-86.4567,0.136322375,8129.87557
26,California,33.2442,-86.4567,0.045740182,8129.87557
26,Colorado,33.2442,-86.4567,0.679050228,8129.87557
26,Connecticut,33.2442,-86.4567,78.60117546,8129.87557
26,DC,33.2442,-86.4567,19.17473987,8129.87557
26,Delaware,33.2442,-86.4567,24.97418684,8129.87557
26,Florida,33.2442,-86.4567,515.3241876,8129.87557
26,Georgia,33.2442,-86.4567,708.8013977,8129.87557
26,Iowa,33.2442,-86.4567,27.67323857,8129.87557
26,Idaho,33.2442,-86.4567,0.02397549,8129.87557
26,Illinois,33.2442,-86.4567,264.9205032,8129.87557
26,Indiana,33.2442,-86.4567,215.133614,8129.87557
26,Kansas,33.2442,-86.4567,19.9321661,8129.87557
26,Kentucky,33.2442,-86.4567,220.6845632,8129.87557
26,Louisiana,33.2442,-86.4567,200.0360023,8129.87557
26,Massachusetts,33.2442,-86.4567,120.7465731,8129.87557
26,Maryland,33.2442,-86.4567,170.5009406,8129.87557
26,Maine,33.2442,-86.4567,21.14749734,8129.87557
26,Michigan,33.2442,-86.4567,194.8328969,8129.87557
26,Minnesota,33.2442,-86.4567,21.89750918,8129.87557
26,Missouri,33.2442,-86.4567,131.1831911,8129.87557
26,Mississippi,33.2442,-86.4567,352.305611,8129.87557
