year,state_facility,state_zip,deaths_coef_2,deaths_coef_1,deaths_coef_3
1999,Alabama,Alabama,458.6059195749998,415.9556918425285,501.26169754939724
1999,Alabama,Arizona,0.026308420976074682,0.023863296321336446,0.028753545739062403
1999,Alabama,Arkansas,23.886014571193662,21.66595558630415,26.1060889490252
1999,Alabama,California,8.312066693405572e-05,7.539537078860017e-05,9.084596370567692e-05
1999,Alabama,Colorado,0.040842528536207,0.0370465929371492,0.044638464289278
1999,Alabama,Connecticut,12.267454695711493,11.127296347795776,13.40761550857445
1999,Alabama,DC,3.151088218863534,2.8582184665531423,3.4439590533865974
1999,Alabama,Delaware,3.3785385681716713,3.064530345106845,3.6925476822301615
1999,Alabama,Florida,97.75688854750726,88.67101640963077,106.84281695381443
1999,Alabama,Georgia,195.44689482907492,177.27980149924437,213.61442149518138
1999,Alabama,Idaho,2.2918155395679207e-07,2.0788125043580453e-07,2.504818563675569e-07
1999,Alabama,Illinois,84.82833553684374,76.94410709153144,92.71260909949237
1999,Alabama,Indiana,98.6511037485013,89.48186017226088,107.82045737450358
1999,Alabama,Iowa,4.869829217304084,4.417221006552243,5.3224379770007975
1999,Alabama,Kansas,4.08396251488136,3.704393840095964,4.463531635540831
1999,Alabama,Kentucky,87.14425551583297,79.04439113297958,95.24424548652578
1999,Alabama,Louisiana,44.69345395100157,40.53945464198693,48.847485356674525
1999,Alabama,Maine,2.546631881582516,2.309944675757317,2.7833193648332264
1999,Alabama,Maryland,25.03280018614941,22.706192939192064,27.35941568543086
1999,Alabama,Massachusetts,19.94494008499245,18.091225375929838,21.798658321830494
1999,Alabama,Michigan,75.88467126764894,68.83169837655139,82.9376841977717
1999,Alabama,Minnesota,3.5357393312164227,3.20712425933797,3.864354575501845
1999,Alabama,Mississippi,81.25750125094758,73.70421448609463,88.81102467386276
1999,Alabama,Missouri,38.57179377617192,34.98679601684922,42.15681340132188
1999,Alabama,Montana,0.007385828695189599,0.0066993841345729,0.0080722732920353
1999,Alabama,Nebraska,1.3587171743893296,1.2324366371949376,1.4849977848056861
1999,Alabama,Nevada,1.02389758735999e-05,9.28735788541246e-06,1.1190593860011e-05
1999,Alabama,New Hampshire,3.026650599358227,2.745349074944557,3.307952610973889
1999,Alabama,New Jersey,37.29076570875658,33.82488985115499,40.75665068379618
1999,Alabama,New Mexico,0.0981677600819323,0.0890439676198961,0.1072915542253417
1999,Alabama,New York,69.11474163677296,62.69109066419722,75.53840812811119
1999,Alabama,North Carolina,108.37059896700343,98.29808988461332,118.44320342796144
1999,Alabama,North Dakota,0.18438988585967991,0.1672525297940941,0.2015272467598657
1999,Alabama,Ohio,136.7270950420188,124.01910041537403,149.4351874670619
1999,Alabama,Oklahoma,13.060285688142791,11.846438699724136,14.274135621304726
1999,Alabama,Oregon,0.0,0.0,0.0
1999,Alabama,Pennsylvania,84.92522387167564,77.03207687297765,92.8183982966434
1999,Alabama,Rhode Island,3.8409343422421074,3.4839514516389034,4.1979179725981455
1999,Alabama,South Carolina,60.30559665767338,54.70046804517356,65.91078302660243
1999,Alabama,South Dakota,0.4618823500309283,0.4189545632793717,0.5048101571242172
1999,Alabama,Tennessee,213.45656157891867,193.61426264373807,233.2995756526375
1999,Alabama,Texas,99.56269087414987,90.30903394630685,108.81639426924154
1999,Alabama,Utah,0.0,0.0,0.0
1999,Alabama,Vermont,1.4352326166428593,1.3018399918758632,1.568625455157742
1999,Alabama,Virginia,59.77242509102243,54.21692203904878,65.32797110234873
1999,Alabama,Washington,0.0,0.0,0.0
1999,Alabama,West Virginia,28.682992437242195,26.01705846305576,31.34895006678245
1999,Alabama,Wisconsin,13.338189160313009,12.098517378261837,14.577863116396435
1999,Alabama,Wyoming,0.003871622765093478,0.003511791245770418,0.004231454291251539
1999,Arizona,Alabama,1.365310937129686,1.2384176115732795,1.4922043275405297
1999,Arizona,Arizona,12.74631029592105,11.561599854685774,13.931032814585489
1999,Arizona,Arkansas,2.084871101079378,1.8911004893476075,2.278641948151806
1999,Arizona,California,3.1835517279152965,2.887669248897547,3.4794343759936863
1999,Arizona,Colorado,5.120831201715782,4.644890573097982,5.596773221061623
1999,Arizona,Connecticut,0.2860456738365764,0.25946036021254226,0.3126309909345619
1999,Arizona,DC,0.0549227530103569,0.049818187931552405,0.0600273188628171
1999,Arizona,Delaware,0.062083742365138396,0.0563136295468925,0.06785385597188609
1999,Arizona,Florida,1.2392873400317652,1.1241069923634366,1.3544677010062478
1999,Arizona,Georgia,1.0887604882502886,0.9875701300781253,1.1899508776757683
1999,Arizona,Idaho,0.1430265098354361,0.12973348174675522,0.1563195457925389
1999,Arizona,Illinois,4.081661608622581,3.702307967479957,4.4610154526525
1999,Arizona,Indiana,2.145864040826515,1.9464253391219581,2.3453028469220607
1999,Arizona,Iowa,1.4525586465588045,1.3175561968278473,1.587561213909836
1999,Arizona,Kansas,3.477243070367265,3.1540610303507353,3.800426031596135
1999,Arizona,Kentucky,1.352909547059864,1.2271688010776567,1.4786503609296655
1999,Arizona,Louisiana,1.397959321550286,1.268031533612043,1.5278871942974712
1999,Arizona,Maine,0.07057100644987299,0.0640120822135195,0.0771299312320228
1999,Arizona,Maryland,0.4711484550261862,0.4273595337277982,0.5149373835311524
1999,Arizona,Massachusetts,0.4636241972563475,0.4205345973945106,0.5067138019898629
1999,Arizona,Michigan,2.0310724481606406,1.8423027662812772,2.219842192575412
1999,Arizona,Minnesota,1.3440567933399725,1.2191388432061911,1.4689748084172287
1999,Arizona,Mississippi,1.0004487584121318,0.9074660215815108,1.0934315544073434
