state_zip,FacID,FacID,Facility.Latitude,Facility.Longitude,state_facility,deaths_coef_2,deaths_coef_1,deaths_coef_3
Alabama,3,3,31.0069,-88.0103,Alabama,307.139708512907,278.58818313280096,335.69240931773743
Alabama,7,7,34.0128,-85.9708,Alabama,84.5930209234723,76.72990095269776,92.45634216817186
Alabama,8,8,33.6446,-87.2003,Alabama,746.7723523621773,677.3227248561672,816.2310169129943
Alabama,10,10,32.6017,-87.7811,Alabama,328.0749870717775,297.5763827956204,358.5750410659879
Alabama,26,26,33.2442,-86.4567,Alabama,1379.6400449099874,1251.3124444393259,1507.9887514503712
Alabama,47,47,34.7439,-87.8486,Alabama,322.7266290682803,292.71962040667574,352.736214583476
Alabama,50,50,34.8825,-85.7547,Alabama,194.2626444286798,176.2062596203845,212.31933070324416
Alabama,51,51,32.0306,-93.5692,Louisiana,35.4991699103237,32.19975073333732,38.79860959078843
Alabama,56,56,31.4858,-87.9106,Alabama,86.4853439896003,78.44689053280331,94.52388794442798
Alabama,59,59,40.8538,-98.3481,Nebraska,1.3069629521578472,1.185492669100236,1.4284332718711623
Alabama,60,60,40.5806,-98.3106,Nebraska,1.4028240204241982,1.272444372913053,1.5332036975861663
Alabama,87,87,35.4159,-108.082,New Mexico,0.3125291696650626,0.2834824681714664,0.341575873032585
Alabama,108,108,37.9306,-100.9725,Kansas,0.9190381642844783,0.8336219991780852,1.0044543453485861
Alabama,113,113,34.9394,-110.3033,Arizona,3.2910289868415195,2.9851577125640163,3.596900384950143
Alabama,126,126,32.16,-110.9047,Arizona,0.4383462024167896,0.39760595831585066,0.4790864513548356
Alabama,127,127,34.0825,-99.1753,Texas,2.575184013624119,2.3358436836467917,2.814524511981347
Alabama,130,130,33.3692,-80.1119,South Carolina,11.080898392543606,10.051024113242663,12.110774184380496
Alabama,136,136,29.7333,-81.6339,Florida,30.61067622261648,27.76564640149423,33.455716477880216
Alabama,160,160,32.0619,-109.8931,Arizona,0.838173726979437,0.7602732002179218,0.9160742619732272
Alabama,165,165,36.1906,-95.2889,Oklahoma,15.271183142216156,13.851852855015933,16.690516548939474
Alabama,207,207,30.4311,-81.5508,Florida,22.133788066001117,20.076628901900516,24.190953074315075
Alabama,298,298,31.4219,-96.2525,Texas,24.542595527975447,22.261562026339323,26.823634461717266
Alabama,384,384,41.4947,-88.125,Illinois,13.436666400760831,12.187847425976821,14.685486452203104
Alabama,465,465,39.67,-105.0028,Colorado,1.0478218262083014,0.9504364335947991,1.145207230398545
Alabama,468,468,39.1486,-108.3189,Colorado,0.4021243626799039,0.3647506024271645,0.4394981279181783
Alabama,469,469,39.8034,-104.9458,Colorado,3.6624751616635507,3.3220813910780786,4.002869058925775
Alabama,470,470,38.2081,-104.5747,Colorado,4.425902029073865,4.014554161821525,4.8372501538484025
Alabama,477,477,40.0195,-105.202,Colorado,0.6729375765601407,0.6103941681821439,0.7354810037750257
Alabama,492,492,38.8244,-104.8331,Colorado,2.8375310615194027,2.5738084603978675,3.101253737232047
Alabama,508,508,38.0921,-102.6148,Colorado,0.0062717073930249,0.0056888102372637,0.0068546045540821
Alabama,525,525,40.4856,-107.185,Colorado,1.0247185008865545,0.9294803387071267,1.1199566766430797
Alabama,527,527,38.2387,-108.5083,Colorado,0.3220282509641759,0.2920986952761173,0.3519578090443301
Alabama,564,564,28.4836,-81.1686,Florida,7.417520912693012,6.728127882544291,8.106914587573767
Alabama,568,568,41.1706,-73.1843,Connecticut,0.7276722417364235,0.6600417204608956,0.7953027885262623
Alabama,593,593,39.7372,-75.5033,Delaware,1.5888095393491903,1.4411441225138693,1.7364750140202774
Alabama,594,594,38.5857,-75.2341,Delaware,6.2930545927371355,5.708171417161006,6.8779381830163855
Alabama,602,602,39.1792,-76.5383,Maryland,11.98878972443567,10.874532034820682,13.103049606527815
Alabama,628,628,28.9594,-82.7003,Florida,122.41958252690559,111.04137370151929,133.79788197711517
Alabama,641,641,30.5661,-87.2289,Florida,176.2184897971495,159.83822053786594,192.59924943765972
Alabama,642,642,30.6689,-84.8869,Florida,10.355813960944724,9.393326850062124,11.318303140818339
Alabama,643,643,30.2689,-85.7003,Florida,63.63470407895638,57.72009896516035,69.54938063963996
Alabama,645,645,27.7944,-82.4036,Florida,26.16010760254943,23.72871249948854,28.59151404657464
Alabama,646,646,27.9083,-82.4194,Florida,22.28914234081668,20.21754028420217,24.36075109237625
Alabama,663,663,29.7586,-82.3883,Florida,9.236521248443326,8.378061255414142,10.094983469355538
Alabama,667,667,30.4172,-81.5525,Florida,3.3859726630517044,3.0712771130815946,3.7006683655723127
Alabama,676,676,28.0809,-81.9256,Florida,7.990766123141516,7.248091668950563,8.733441957743185
Alabama,699,699,32.9269,-83.6997,Georgia,3.290710573215789,2.984867359478225,3.596554224953456
Alabama,703,703,34.1256,-84.9192,Georgia,584.0144765621444,529.7166488310169,638.316218112578
Alabama,708,708,34.2533,-85.3456,Georgia,150.9648882702669,136.9310321585086,164.99937332246824
Alabama,709,709,33.1942,-83.2994,Georgia,168.50675251351163,152.84444178578056,184.16930270510088
Alabama,710,710,33.8244,-84.475,Georgia,84.62852060328939,76.76245040876921,92.4947204975835
Alabama,727,727,31.4444,-84.1322,Georgia,12.136132248384337,11.008165480227344,13.264104273873556
Alabama,728,728,33.4622,-84.8986,Georgia,247.5263262687379,224.51851774271887,270.5346530629999
Alabama,733,733,32.1486,-81.1458,Georgia,9.058002407925915,8.21614089499097,9.89986475379351
Alabama,856,856,40.5958,-89.6631,Illinois,34.00098059661363,30.840835733093687,37.16113951029801
Alabama,861,861,39.0586,-89.4031,Illinois,35.45619780437709,32.16075504664974,38.751664639876296
Alabama,862,862,37.6578,-89.5119,Illinois,4.079182140396179,3.7000541861191802,4.45831127236486
Alabama,863,863,39.1333,-87.6597,Illinois,11.982631625056358,10.868944516882552,13.096321285740837
Alabama,864,864,39.8194,-90.5647,Illinois,12.48265650664456,11.322498285171923,13.64281695902875
Alabama,867,867,41.8278,-87.7236,Illinois,5.193069914406465,4.710420231357161,5.675719991198288
Alabama,874,874,41.4931,-88.1153,Illinois,3.6759362328100575,3.3342903617259916,4.017582439308383
Alabama,876,876,39.5906,-89.4964,Illinois,19.892256311494645,18.043432103945026,21.741085269719225
Alabama,879,879,40.5408,-89.6786,Illinois,23.297811553827763,21.132480883101298,25.463145261626973
