,state_zip,FacID,FacID.1,Facility.Latitude,Facility.Longitude,state_facility,deaths_coef_2,deaths_coef_1,deaths_coef_3,deaths_coef_2_all,deaths_coef_1_all,deaths_coef_3_all
0,Alabama,3,3,31.0069,-88.0103,Alabama,307.139708512907,278.58818313280096,335.69240931773743,1834.4647037012714,1663.9582209555056,2004.973231205495
1,Arizona,3,3,31.0069,-88.0103,Alabama,0.2619827423562938,0.2376338594279454,0.2863316279341255,1834.4647037012714,1663.9582209555056,2004.973231205495
2,Arkansas,3,3,31.0069,-88.0103,Alabama,27.261475317219364,24.72772708014263,29.795233092357226,1834.4647037012714,1663.9582209555056,2004.973231205495
3,California,3,3,31.0069,-88.0103,Alabama,0.0120244173316185,0.0109068590609498,0.0131419756150136,1834.4647037012714,1663.9582209555056,2004.973231205495
4,Colorado,3,3,31.0069,-88.0103,Alabama,0.2424874189242296,0.2199504414073429,0.265024399992193,1834.4647037012714,1663.9582209555056,2004.973231205495
5,Connecticut,3,3,31.0069,-88.0103,Alabama,10.10741478102931,9.168019720966395,11.046810752783916,1834.4647037012714,1663.9582209555056,2004.973231205495
6,DC,3,3,31.0069,-88.0103,Alabama,2.556690133799452,2.319067412609249,2.794313274631337,1834.4647037012714,1663.9582209555056,2004.973231205495
7,Delaware,3,3,31.0069,-88.0103,Alabama,3.206314253335083,2.908315140250431,3.5043137543729137,1834.4647037012714,1663.9582209555056,2004.973231205495
8,Florida,3,3,31.0069,-88.0103,Alabama,170.5945195415637,154.73858911328983,186.45060358492847,1834.4647037012714,1663.9582209555056,2004.973231205495
9,Georgia,3,3,31.0069,-88.0103,Alabama,153.96357464444972,139.65348798696334,168.2737838687596,1834.4647037012714,1663.9582209555056,2004.973231205495
10,Idaho,3,3,31.0069,-88.0103,Alabama,0.0014247310066906,0.0012923154448888,0.0015571465693069,1834.4647037012714,1663.9582209555056,2004.973231205495
11,Illinois,3,3,31.0069,-88.0103,Alabama,48.93160421883348,44.38382172644828,53.479395518650925,1834.4647037012714,1663.9582209555056,2004.973231205495
12,Indiana,3,3,31.0069,-88.0103,Alabama,44.34018530331274,40.219116887698014,48.46126576344274,1834.4647037012714,1663.9582209555056,2004.973231205495
13,Iowa,3,3,31.0069,-88.0103,Alabama,4.479082490708441,4.062792040896375,4.8953731880202245,1834.4647037012714,1663.9582209555056,2004.973231205495
14,Kansas,3,3,31.0069,-88.0103,Alabama,5.630389261228572,5.107094288745523,6.153684731067909,1834.4647037012714,1663.9582209555056,2004.973231205495
15,Kentucky,3,3,31.0069,-88.0103,Alabama,45.62743558847271,41.38670184499961,49.868186978078,1834.4647037012714,1663.9582209555056,2004.973231205495
16,Louisiana,3,3,31.0069,-88.0103,Alabama,77.54881279691246,70.34107580424927,84.75660982260017,1834.4647037012714,1663.9582209555056,2004.973231205495
17,Maine,3,3,31.0069,-88.0103,Alabama,2.145945080299163,1.946498868705305,2.345391391777212,1834.4647037012714,1663.9582209555056,2004.973231205495
18,Maryland,3,3,31.0069,-88.0103,Alabama,22.17847254881204,20.1171721395428,24.23977639154923,1834.4647037012714,1663.9582209555056,2004.973231205495
19,Massachusetts,3,3,31.0069,-88.0103,Alabama,15.318895247115664,13.895140116630614,16.742651539004598,1834.4647037012714,1663.9582209555056,2004.973231205495
20,Michigan,3,3,31.0069,-88.0103,Alabama,33.84733480400934,30.70151719560768,36.99315676887755,1834.4647037012714,1663.9582209555056,2004.973231205495
21,Minnesota,3,3,31.0069,-88.0103,Alabama,3.161730541090787,2.867876471302568,3.455584711898959,1834.4647037012714,1663.9582209555056,2004.973231205495
22,Mississippi,3,3,31.0069,-88.0103,Alabama,118.01574700439336,107.04619887651572,128.98551592256618,1834.4647037012714,1663.9582209555056,2004.973231205495
23,Missouri,3,3,31.0069,-88.0103,Alabama,29.790520260383232,27.02173769868956,32.55930887942651,1834.4647037012714,1663.9582209555056,2004.973231205495
24,Montana,3,3,31.0069,-88.0103,Alabama,0.0024739797416122,0.0022440462058192,0.0027039132833348,1834.4647037012714,1663.9582209555056,2004.973231205495
25,Nebraska,3,3,31.0069,-88.0103,Alabama,1.5581664620446154,1.4133490196454317,1.7029839655304346,1834.4647037012714,1663.9582209555056,2004.973231205495
26,Nevada,3,3,31.0069,-88.0103,Alabama,0.0088155268269397,0.0079962051545746,0.009634848516409,1834.4647037012714,1663.9582209555056,2004.973231205495
27,New Hampshire,3,3,31.0069,-88.0103,Alabama,2.397568886452515,2.1747363006107,2.620401627813103,1834.4647037012714,1663.9582209555056,2004.973231205495
28,New Jersey,3,3,31.0069,-88.0103,Alabama,30.29161855212005,27.47627627728713,33.106964274898225,1834.4647037012714,1663.9582209555056,2004.973231205495
29,New Mexico,3,3,31.0069,-88.0103,Alabama,0.3834892234177442,0.3478474072921172,0.4191310485284681,1834.4647037012714,1663.9582209555056,2004.973231205495
30,New York,3,3,31.0069,-88.0103,Alabama,53.23313921897185,48.28558688361001,58.1806966721546,1834.4647037012714,1663.9582209555056,2004.973231205495
31,North Carolina,3,3,31.0069,-88.0103,Alabama,105.1837855760947,95.4076942482479,114.95992453884108,1834.4647037012714,1663.9582209555056,2004.973231205495
32,North Dakota,3,3,31.0069,-88.0103,Alabama,0.0988931128458637,0.0897019081177528,0.1080843187248994,1834.4647037012714,1663.9582209555056,2004.973231205495
33,Ohio,3,3,31.0069,-88.0103,Alabama,70.92453526401843,64.33269184326997,77.51639192648152,1834.4647037012714,1663.9582209555056,2004.973231205495
34,Oklahoma,3,3,31.0069,-88.0103,Alabama,17.119763954003005,15.52862522245165,18.71090580004216,1834.4647037012714,1663.9582209555056,2004.973231205495
35,Oregon,3,3,31.0069,-88.0103,Alabama,4.599400973415161e-07,4.17192912882669e-07,5.026872618163481e-07,1834.4647037012714,1663.9582209555056,2004.973231205495
36,Pennsylvania,3,3,31.0069,-88.0103,Alabama,60.79479535885971,55.14444445075907,66.44515397798119,1834.4647037012714,1663.9582209555056,2004.973231205495
37,Rhode Island,3,3,31.0069,-88.0103,Alabama,2.9627811459694158,2.6874169141887165,3.238145615267616,1834.4647037012714,1663.9582209555056,2004.973231205495
38,South Carolina,3,3,31.0069,-88.0103,Alabama,66.01035792024027,59.875135005462965,72.14561595860386,1834.4647037012714,1663.9582209555056,2004.973231205495
39,South Dakota,3,3,31.0069,-88.0103,Alabama,0.3528969281010394,0.3200983818052131,0.385695483533644,1834.4647037012714,1663.9582209555056,2004.973231205495
40,Tennessee,3,3,31.0069,-88.0103,Alabama,114.83430865425966,104.16111852860048,125.50758167313928,1834.4647037012714,1663.9582209555056,2004.973231205495
41,Texas,3,3,31.0069,-88.0103,Alabama,104.64418190974656,94.91833715467511,114.37005474698074,1834.4647037012714,1663.9582209555056,2004.973231205495
42,Utah,3,3,31.0069,-88.0103,Alabama,0.0041813856594364,0.0037927645523082,0.0045700067731144,1834.4647037012714,1663.9582209555056,2004.973231205495
43,Vermont,3,3,31.0069,-88.0103,Alabama,1.0925744787491236,0.9910294985116456,1.1941195203562731,1834.4647037012714,1663.9582209555056,2004.973231205495
44,Virginia,3,3,31.0069,-88.0103,Alabama,49.67203652578587,45.05541122007187,54.288676066938265,1834.4647037012714,1663.9582209555056,2004.973231205495
45,Washington,3,3,31.0069,-88.0103,Alabama,0.0033654886861446,0.0030526976690683,0.0036782797004112,1834.4647037012714,1663.9582209555056,2004.973231205495
46,West Virginia,3,3,31.0069,-88.0103,Alabama,17.44762583556593,15.82600674097669,19.0692498146632,1834.4647037012714,1663.9582209555056,2004.973231205495
47,Wisconsin,3,3,31.0069,-88.0103,Alabama,9.07152232731286,8.228405444774527,9.91463980061778,1834.4647037012714,1663.9582209555056,2004.973231205495
