,state_zip,FacID,FacID.1,lat,lon,state_facility,deaths_coef_2,deaths_coef_1_x,deaths_coef_3_x,deaths_coef_2_all,deaths_coef_1_all,deaths_coef_3_all
49,Alabama,7,7,34.0128,-85.9708,Alabama,103.2397486,94.04500836,112.4346755,502.1737939,457.4524591,546.8953964
50,Arizona,7,7,34.0128,-85.9708,Alabama,0.003281117,0.002988925,0.00357331,502.1737939,457.4524591,546.8953964
51,Arkansas,7,7,34.0128,-85.9708,Alabama,5.155928095,4.69677495,5.615081919,502.1737939,457.4524591,546.8953964
52,California,7,7,34.0128,-85.9708,Alabama,0.00045181,0.000411575,0.000492045,502.1737939,457.4524591,546.8953964
53,Colorado,7,7,34.0128,-85.9708,Alabama,0.023049972,0.020997308,0.025102636,502.1737939,457.4524591,546.8953964
54,Connecticut,7,7,34.0128,-85.9708,Alabama,3.818020478,3.478014086,4.158027085,502.1737939,457.4524591,546.8953964
55,DC,7,7,34.0128,-85.9708,Alabama,0.98450974,0.896835916,1.072183663,502.1737939,457.4524591,546.8953964
56,Delaware,7,7,34.0128,-85.9708,Alabama,1.287958638,1.173261822,1.40265556,502.1737939,457.4524591,546.8953964
57,Florida,7,7,34.0128,-85.9708,Alabama,18.96078659,17.27226894,20.64930563,502.1737939,457.4524591,546.8953964
58,Georgia,7,7,34.0128,-85.9708,Alabama,44.69079542,40.71086418,48.67074469,502.1737939,457.4524591,546.8953964
59,Idaho,7,7,34.0128,-85.9708,Alabama,0.000205,0.000186744,0.000223256,502.1737939,457.4524591,546.8953964
60,Illinois,7,7,34.0128,-85.9708,Alabama,15.5633387,14.17737352,16.94930521,502.1737939,457.4524591,546.8953964
61,Indiana,7,7,34.0128,-85.9708,Alabama,15.2454256,13.88776753,16.60308577,502.1737939,457.4524591,546.8953964
62,Iowa,7,7,34.0128,-85.9708,Alabama,1.056324282,0.962255542,1.150393048,502.1737939,457.4524591,546.8953964
63,Kansas,7,7,34.0128,-85.9708,Alabama,0.774646181,0.705661692,0.84363069,502.1737939,457.4524591,546.8953964
64,Kentucky,7,7,34.0128,-85.9708,Alabama,17.57993272,16.01437052,19.14549894,502.1737939,457.4524591,546.8953964
65,Louisiana,7,7,34.0128,-85.9708,Alabama,7.667339115,6.984536712,8.350142425,502.1737939,457.4524591,546.8953964
66,Maine,7,7,34.0128,-85.9708,Alabama,0.795428725,0.724593478,0.866263996,502.1737939,457.4524591,546.8953964
67,Maryland,7,7,34.0128,-85.9708,Alabama,9.304572826,8.47596995,10.13317666,502.1737939,457.4524591,546.8953964
68,Massachusetts,7,7,34.0128,-85.9708,Alabama,5.538785766,5.04554028,6.032031504,502.1737939,457.4524591,546.8953964
69,Michigan,7,7,34.0128,-85.9708,Alabama,11.27615508,10.27197859,12.28033228,502.1737939,457.4524591,546.8953964
70,Minnesota,7,7,34.0128,-85.9708,Alabama,0.636944223,0.580222547,0.693665905,502.1737939,457.4524591,546.8953964
71,Mississippi,7,7,34.0128,-85.9708,Alabama,16.15900231,14.71996083,17.59805114,502.1737939,457.4524591,546.8953964
72,Missouri,7,7,34.0128,-85.9708,Alabama,7.223136388,6.57989273,7.866380705,502.1737939,457.4524591,546.8953964
73,Montana,7,7,34.0128,-85.9708,Alabama,0.000659201,0.000600497,0.000717905,502.1737939,457.4524591,546.8953964
74,Nebraska,7,7,34.0128,-85.9708,Alabama,0.223599695,0.20368751,0.243511883,502.1737939,457.4524591,546.8953964
75,Nevada,7,7,34.0128,-85.9708,Alabama,2.59E-05,2.36E-05,2.82E-05,502.1737939,457.4524591,546.8953964
76,New Hampshire,7,7,34.0128,-85.9708,Alabama,0.889200027,0.81001412,0.968385971,502.1737939,457.4524591,546.8953964
77,New Jersey,7,7,34.0128,-85.9708,Alabama,11.02022881,10.03884311,12.00161526,502.1737939,457.4524591,546.8953964
78,New Mexico,7,7,34.0128,-85.9708,Alabama,0.023595511,0.021494265,0.025696757,502.1737939,457.4524591,546.8953964
79,New York,7,7,34.0128,-85.9708,Alabama,19.46490478,17.73149537,21.19831531,502.1737939,457.4524591,546.8953964
80,North Carolina,7,7,34.0128,-85.9708,Alabama,31.29946029,28.51212273,34.0868045,502.1737939,457.4524591,546.8953964
81,North Dakota,7,7,34.0128,-85.9708,Alabama,0.018891057,0.017208756,0.020573358,502.1737939,457.4524591,546.8953964
82,Ohio,7,7,34.0128,-85.9708,Alabama,23.47594051,21.38533093,25.56655245,502.1737939,457.4524591,546.8953964
83,Oklahoma,7,7,34.0128,-85.9708,Alabama,1.937614939,1.765064439,2.110165541,502.1737939,457.4524591,546.8953964
84,Oregon,7,7,34.0128,-85.9708,Alabama,5.57E-06,5.07E-06,6.06E-06,502.1737939,457.4524591,546.8953964
85,Pennsylvania,7,7,34.0128,-85.9708,Alabama,25.13751464,22.89893823,27.37609323,502.1737939,457.4524591,546.8953964
86,Rhode Island,7,7,34.0128,-85.9708,Alabama,1.078001982,0.982002658,1.174001357,502.1737939,457.4524591,546.8953964
87,South Carolina,7,7,34.0128,-85.9708,Alabama,17.235509,15.70061805,18.77040409,502.1737939,457.4524591,546.8953964
88,South Dakota,7,7,34.0128,-85.9708,Alabama,0.054262457,0.049430234,0.059094682,502.1737939,457.4524591,546.8953964
89,Tennessee,7,7,34.0128,-85.9708,Alabama,45.68565724,41.61712035,49.75421421,502.1737939,457.4524591,546.8953964
90,Texas,7,7,34.0128,-85.9708,Alabama,10.08978977,9.191263335,10.98831674,502.1737939,457.4524591,546.8953964
91,Utah,7,7,34.0128,-85.9708,Alabama,0.002300489,0.002095624,0.002505354,502.1737939,457.4524591,546.8953964
92,Vermont,7,7,34.0128,-85.9708,Alabama,0.43035042,0.392026442,0.468674414,502.1737939,457.4524591,546.8953964
93,Virginia,7,7,34.0128,-85.9708,Alabama,17.55708039,15.9935594,19.12060419,502.1737939,457.4524591,546.8953964
94,Washington,7,7,34.0128,-85.9708,Alabama,7.10E-05,6.46E-05,7.73E-05,502.1737939,457.4524591,546.8953964
95,West Virginia,7,7,34.0128,-85.9708,Alabama,6.636114278,6.045144468,7.227085156,502.1737939,457.4524591,546.8953964
96,Wisconsin,7,7,34.0128,-85.9708,Alabama,2.926049826,2.665476462,3.186623292,502.1737939,457.4524591,546.8953964
97,Wyoming,7,7,34.0128,-85.9708,Alabama,0.001198815,0.001092057,0.001305572,502.1737939,457.4524591,546.8953964
98,Alabama,8,8,33.6446,-87.2003,Alabama,351.3769365,320.0796514,382.6754336,2818.084594,2567.105464,3069.067812
99,Arizona,8,8,33.6446,-87.2003,Alabama,0.059768592,0.054446032,0.065091151,2818.084594,2567.105464,3069.067812
100,Arkansas,8,8,33.6446,-87.2003,Alabama,47.91141059,43.64457166,52.1782877,2818.084594,2567.105464,3069.067812
101,California,8,8,33.6446,-87.2003,Alabama,0.012111652,0.011033076,0.013190228,2818.084594,2567.105464,3069.067812
102,Colorado,8,8,33.6446,-87.2003,Alabama,0.130213045,0.118617209,0.141808881,2818.084594,2567.105464,3069.067812
103,Connecticut,8,8,33.6446,-87.2003,Alabama,21.42654668,19.51842981,23.33466816,2818.084594,2567.105464,3069.067812
104,DC,8,8,33.6446,-87.2003,Alabama,5.214822375,4.750418228,5.679228434,2818.084594,2567.105464,3069.067812
105,Delaware,8,8,33.6446,-87.2003,Alabama,6.813493236,6.206722201,7.420266346,2818.084594,2567.105464,3069.067812
106,Florida,8,8,33.6446,-87.2003,Alabama,113.9325703,103.786352,124.0788292,2818.084594,2567.105464,3069.067812
107,Georgia,8,8,33.6446,-87.2003,Alabama,204.1030243,185.9256994,222.2806201,2818.084594,2567.105464,3069.067812
108,Idaho,8,8,33.6446,-87.2003,Alabama,0.001242209,0.001131587,0.001352832,2818.084594,2567.105464,3069.067812
109,Illinois,8,8,33.6446,-87.2003,Alabama,111.577851,101.6412848,121.5144661,2818.084594,2567.105464,3069.067812
110,Indiana,8,8,33.6446,-87.2003,Alabama,91.06504309,82.95517155,99.17496888,2818.084594,2567.105464,3069.067812
111,Iowa,8,8,33.6446,-87.2003,Alabama,8.468601023,7.714442503,9.222760748,2818.084594,2567.105464,3069.067812
112,Kansas,8,8,33.6446,-87.2003,Alabama,6.906288372,6.291258723,7.521319108,2818.084594,2567.105464,3069.067812
113,Kentucky,8,8,33.6446,-87.2003,Alabama,95.97199447,87.4249785,104.5190973,2818.084594,2567.105464,3069.067812
114,Louisiana,8,8,33.6446,-87.2003,Alabama,79.74413029,72.64235057,86.84597733,2818.084594,2567.105464,3069.067812
115,Maine,8,8,33.6446,-87.2003,Alabama,4.554756768,4.149140389,4.960373673,2818.084594,2567.105464,3069.067812
116,Maryland,8,8,33.6446,-87.2003,Alabama,48.62755328,44.2970415,52.95808336,2818.084594,2567.105464,3069.067812
117,Massachusetts,8,8,33.6446,-87.2003,Alabama,31.07280052,28.30565379,33.8399527,2818.084594,2567.105464,3069.067812
118,Michigan,8,8,33.6446,-87.2003,Alabama,72.18246474,65.75430503,78.61064625,2818.084594,2567.105464,3069.067812
119,Minnesota,8,8,33.6446,-87.2003,Alabama,5.2326973,4.766709627,5.698685266,2818.084594,2567.105464,3069.067812
120,Mississippi,8,8,33.6446,-87.2003,Alabama,226.63245,206.4436832,246.8224923,2818.084594,2567.105464,3069.067812
121,Missouri,8,8,33.6446,-87.2003,Alabama,57.75212898,52.60899488,62.89529186,2818.084594,2567.105464,3069.067812
122,Montana,8,8,33.6446,-87.2003,Alabama,0.004637094,0.004224148,0.00505004,2818.084594,2567.105464,3069.067812
123,Nebraska,8,8,33.6446,-87.2003,Alabama,1.962336481,1.787584257,2.137088849,2818.084594,2567.105464,3069.067812
124,Nevada,8,8,33.6446,-87.2003,Alabama,0.000871805,0.000794168,0.000949442,2818.084594,2567.105464,3069.067812
125,New Hampshire,8,8,33.6446,-87.2003,Alabama,5.023448374,4.576092379,5.470805153,2818.084594,2567.105464,3069.067812
126,New Jersey,8,8,33.6446,-87.2003,Alabama,61.74751367,56.24864447,67.24639895,2818.084594,2567.105464,3069.067812
127,New Mexico,8,8,33.6446,-87.2003,Alabama,0.261842321,0.238524504,0.285160144,2818.084594,2567.105464,3069.067812
128,New York,8,8,33.6446,-87.2003,Alabama,111.4508711,101.5257331,121.3760345,2818.084594,2567.105464,3069.067812
