FacID,uID,year_scrubbed,year_shut,Facility.Latitude,Facility.Longitude,State
56224,1,1,0,1,1,1
56319,1,1,0,1,1,1
56456,1,1,0,1,1,1
56564,1,1,0,1,1,1
56596,1,1,0,1,1,1
56609,1,1,0,1,1,1
56611,1,1,0,1,1,1
56671,1,1,0,1,1,1
56786,1,1,0,1,1,1
56808,2,2,0,2,2,2
880028,1,0,1,1,1,1
880033,1,0,1,1,1,1
880039,1,0,1,1,1,1
880041,4,0,3,4,4,4
880043,1,0,1,1,1,1
880044,1,0,1,1,1,1
880052,1,0,1,1,1,1
880053,3,0,3,3,3,3
880055,4,0,4,4,4,4
880057,2,0,2,2,2,2
880066,3,0,3,3,3,3
880068,2,0,2,2,2,2
880078,1,0,1,1,1,1
880079,2,0,2,2,2,2
880086,1,0,1,1,1,1
880087,1,0,1,1,1,1
880102,2,2,2,2,2,2
