state_facility,state_zip,deaths_coef_2
Alabama,Alabama,3094.104831819981
Alabama,Arizona,1.2303219389155708
Alabama,Arkansas,443.84829191996977
Alabama,California,0.20377069903196626
Alabama,Colorado,2.7891230903545945
Alabama,Connecticut,258.1317262510914
Alabama,DC,61.350854651231444
Alabama,Delaware,79.39467362192602
Alabama,Florida,1628.2622039738958
Alabama,Georgia,1977.6862301175483
Alabama,Idaho,0.05916762416629909
Alabama,Illinois,1053.4834762317516
Alabama,Indiana,834.5014073375614
Alabama,Iowa,106.32181462925354
Alabama,Kansas,79.80294791290089
Alabama,Kentucky,815.4037974097854
Alabama,Louisiana,1050.4418436492228
Alabama,Maine,69.68073415624553
Alabama,Maryland,546.8317445784594
Alabama,Massachusetts,399.25847315613845
Alabama,Michigan,725.373768325212
Alabama,Minnesota,85.77488191392901
Alabama,Mississippi,1862.5958484114713
Alabama,Missouri,531.0124519568013
Alabama,Montana,0.1043477313469385
Alabama,Nebraska,27.087195912990246
Alabama,Nevada,0.02866653294506303
Alabama,New Hampshire,67.93146111046822
Alabama,New Jersey,710.6986580018996
Alabama,New Mexico,4.0524150153381475
Alabama,New York,1305.9994300711262
Alabama,North Carolina,1521.6313479913256
Alabama,North Dakota,3.117146064617534
Alabama,Ohio,1362.8254537222979
Alabama,Oklahoma,182.17329762266462
Alabama,Oregon,0.0002864222372998803
Alabama,Pennsylvania,1479.189533747958
Alabama,Rhode Island,74.34586441157614
Alabama,South Carolina,837.5687965131166
Alabama,South Dakota,7.542086360275904
Alabama,Tennessee,1983.2659192665967
Alabama,Texas,1032.8233038937515
Alabama,Utah,0.20172092885900703
Alabama,Vermont,33.75421313233856
Alabama,Virginia,918.9599962602654
Alabama,Washington,0.049642296402897156
Alabama,West Virginia,313.5308212948269
Alabama,Wisconsin,255.27585207270474
Alabama,Wyoming,0.1348626098726217
Arizona,Alabama,12.606622464992038
Arizona,Arizona,372.6330987151402
Arizona,Arkansas,22.868567668018564
Arizona,California,120.317314734086
Arizona,Colorado,125.30904241756993
Arizona,Connecticut,5.126672519050144
Arizona,DC,0.8214159006892348
Arizona,Delaware,1.2030921039066123
Arizona,Florida,20.076965097775606
Arizona,Georgia,13.029709287953036
Arizona,Idaho,3.339948298185304
Arizona,Illinois,65.03801149777695
Arizona,Indiana,25.227472170962166
Arizona,Iowa,30.354551843472688
Arizona,Kansas,50.453998514600784
Arizona,Kentucky,12.363478595287665
Arizona,Louisiana,19.100080662722302
Arizona,Maine,1.7633047765857321
Arizona,Maryland,8.040554040959856
Arizona,Massachusetts,8.654467422365517
Arizona,Michigan,32.19996082167506
Arizona,Minnesota,32.721509594820375
Arizona,Mississippi,10.335777111004912
Arizona,Missouri,54.49967358808507
Arizona,Montana,2.3934281904941868
Arizona,Nebraska,36.38716510813656
Arizona,Nevada,24.67024936692477
Arizona,New Hampshire,1.6636063591889436
Arizona,New Jersey,12.2660099380302
Arizona,New Mexico,133.72240317688798
Arizona,New York,27.771605978078824
Arizona,North Carolina,15.173928598570678
Arizona,North Dakota,4.2298473120661395
Arizona,Ohio,32.70304416908958
Arizona,Oklahoma,78.1614434215343
Arizona,Oregon,1.083271313071393
Arizona,Pennsylvania,27.80508035614186
Arizona,Rhode Island,1.509415530680391
Arizona,South Carolina,7.234407960137329
Arizona,South Dakota,12.351985106891853
Arizona,Tennessee,19.880473016487386
Arizona,Texas,265.5531906498901
Arizona,Utah,25.968312568695133
Arizona,Vermont,0.9240724257047425
Arizona,Virginia,10.999308603097903
Arizona,Washington,1.5126274387230425
Arizona,West Virginia,4.535961058344672
Arizona,Wisconsin,29.054302551982772
Arizona,Wyoming,6.932294912313971
Arkansas,Alabama,163.96471368675114
Arkansas,Arizona,1.2503945241248755
Arkansas,Arkansas,657.1193472259383
Arkansas,California,0.3989751659467055
Arkansas,Colorado,2.433775198134153
Arkansas,Connecticut,55.264036063838425
Arkansas,DC,10.459515753591273
Arkansas,Delaware,15.849399394200965
Arkansas,Florida,175.7590529397373
Arkansas,Georgia,173.0341256827361
Arkansas,Idaho,0.034826358275723834
Arkansas,Illinois,596.919435591991
Arkansas,Indiana,286.1072886402845
Arkansas,Iowa,111.17428666981189
Arkansas,Kansas,119.11991021950057
Arkansas,Kentucky,166.11390420364552
Arkansas,Louisiana,242.69590530243056
Arkansas,Maine,17.967353253139347
Arkansas,Maryland,105.27980467477951
Arkansas,Massachusetts,88.77850406464816
Arkansas,Michigan,279.0232415345118
Arkansas,Minnesota,87.3197301692916
Arkansas,Mississippi,145.82626553522513
Arkansas,Missouri,522.0039064049803
Arkansas,Montana,0.10683505647786078
Arkansas,Nebraska,37.167305526932346
Arkansas,Nevada,0.13064166437976554
Arkansas,New Hampshire,17.069965143039532
Arkansas,New Jersey,142.31257405362805
Arkansas,New Mexico,2.6477466697992544
Arkansas,New York,291.24006223320146
Arkansas,North Carolina,199.96836118464768
Arkansas,North Dakota,3.336049663468072
Arkansas,Ohio,365.7778788386352
Arkansas,Oklahoma,299.61441858795564
Arkansas,Oregon,0.005731987423956092
Arkansas,Pennsylvania,319.5595651419539
Arkansas,Rhode Island,15.851446104544008
Arkansas,South Carolina,93.51721436033893
Arkansas,South Dakota,9.617863381625469
Arkansas,Tennessee,286.64619312926914
Arkansas,Texas,740.0466938090333
Arkansas,Utah,0.18759065955883028
Arkansas,Vermont,9.105997376501428
Arkansas,Virginia,150.37212411800076
Arkansas,Washington,0.04586677802595618
Arkansas,West Virginia,58.76252047514997
Arkansas,Wisconsin,169.46298118174337
Arkansas,Wyoming,0.1516040484154971
Colorado,Alabama,28.519197816042393
Colorado,Arizona,18.586290841202644
Colorado,Arkansas,49.232153115108055
Colorado,California,16.511605223504255
Colorado,Colorado,1185.850351954518
Colorado,Connecticut,16.72753036017391
Colorado,DC,2.712759037827459
Colorado,Delaware,3.964377776637049
Colorado,Florida,37.84642633865993
Colorado,Georgia,32.37651872064353
Colorado,Idaho,1.8284391401801192
Colorado,Illinois,183.79521397530982
Colorado,Indiana,71.3274442380273
Colorado,Iowa,89.48799060173823
Colorado,Kansas,109.57761274142571
Colorado,Kentucky,33.20616954085861
Colorado,Louisiana,32.95987610850254
Colorado,Maine,6.0533121808415755
Colorado,Maryland,26.264739546352143
Colorado,Massachusetts,27.958719759403003
Colorado,Michigan,100.66617946442929
Colorado,Minnesota,111.23393197077374
Colorado,Mississippi,21.166411476209515
Colorado,Missouri,129.71014170317176
Colorado,Montana,3.6568027897695314
Colorado,Nebraska,124.32928061801047
Colorado,Nevada,2.553854811079458
Colorado,New Hampshire,5.478429164755502
Colorado,New Jersey,40.61952710749268
Colorado,New Mexico,31.980042144625624
Colorado,New York,91.7208328428742
Colorado,North Carolina,42.07394305670141
Colorado,North Dakota,17.670504351512015
Colorado,Ohio,98.14028627434696
Colorado,Oklahoma,140.113123994299
Colorado,Oregon,0.38284721942926736
Colorado,Pennsylvania,89.90940220965987
Colorado,Rhode Island,4.813457929217299
Colorado,South Carolina,19.385829238597818
Colorado,South Dakota,49.615823392071064
Colorado,Tennessee,49.48505025530676
Colorado,Texas,335.1924098940584
Colorado,Utah,7.864441219136114
Colorado,Vermont,3.0908683317927017
Colorado,Virginia,33.54268327092161
Colorado,Washington,0.9529415300987952
Colorado,West Virginia,13.743887211704582
Colorado,Wisconsin,91.73724258622912
Colorado,Wyoming,34.725200535432904
Connecticut,Alabama,0.9469435187397787
Connecticut,Arizona,1.0301862758410612e-05
Connecticut,Arkansas,0.2086406122909889
Connecticut,California,0.0
Connecticut,Colorado,0.0017483289059328745
Connecticut,Connecticut,22.047426327861583
Connecticut,DC,1.149602559159073
Connecticut,Delaware,3.0272620434199555
Connecticut,Florida,4.294582116445005
Connecticut,Georgia,1.7193219041954437
Connecticut,Idaho,1.396449059469044e-05
Connecticut,Illinois,1.234138202902448
Connecticut,Indiana,1.002645168171192
Connecticut,Iowa,0.16271613992981548
Connecticut,Kansas,0.08961380125082691
Connecticut,Kentucky,0.8669727717995005
Connecticut,Louisiana,0.3667418461939184
Connecticut,Maine,4.253667024081413
Connecticut,Maryland,11.965492822402098
Connecticut,Massachusetts,26.43367616435881
Connecticut,Michigan,2.687109987902339
Connecticut,Minnesota,0.206821485067579
Connecticut,Mississippi,0.3452521653495862
Connecticut,Missouri,0.4080517453012358
Connecticut,Montana,0.00038661472948200374
Connecticut,Nebraska,0.04509012133406133
Connecticut,Nevada,3.6081085652561697e-07
Connecticut,New Hampshire,4.7920625814793665
Connecticut,New Jersey,76.83344422679028
Connecticut,New Mexico,0.0005424384948916237
Connecticut,New York,111.27264628786644
Connecticut,North Carolina,5.268058632367295
Connecticut,North Dakota,0.014388656000150261
Connecticut,Ohio,5.360401353737675
Connecticut,Oklahoma,0.16178676731551198
Connecticut,Oregon,2.0749449658463733e-06
Connecticut,Pennsylvania,77.48995499096954
Connecticut,Rhode Island,4.2815354925028615
Connecticut,South Carolina,1.7730077224076277
Connecticut,South Dakota,0.022050485491087287
Connecticut,Tennessee,1.2091761418345304
Connecticut,Texas,0.655446786461108
Connecticut,Utah,2.964605652566734e-05
Connecticut,Vermont,2.560602216243383
Connecticut,Virginia,7.826300558456918
Connecticut,Washington,0.00015016105372754447
Connecticut,West Virginia,1.4483782850051603
Connecticut,Wisconsin,0.5279099345997877
Connecticut,Wyoming,0.0002946668232099857
Delaware,Alabama,12.047357731153536
Delaware,Arizona,0.0012670464905988647
Delaware,Arkansas,2.2905323065289203
Delaware,California,0.0008559645072386923
Delaware,Colorado,0.028269930380055274
Delaware,Connecticut,74.90788352050858
Delaware,DC,86.25288358369764
Delaware,Delaware,34.64070455496151
Delaware,Florida,48.80642589420115
Delaware,Georgia,25.46600739087405
Delaware,Idaho,0.00021052467993628224
Delaware,Illinois,10.200877289525662
Delaware,Indiana,10.768136290088629
Delaware,Iowa,1.0792352284128353
Delaware,Kansas,0.8043481607790745
Delaware,Kentucky,11.387783776253023
Delaware,Louisiana,4.513513625945447
Delaware,Maine,17.884593777429696
Delaware,Maryland,439.77825292006537
Delaware,Massachusetts,105.69700117320663
Delaware,Michigan,20.49156414586349
Delaware,Minnesota,1.2360924926929897
Delaware,Mississippi,3.9600927108473583
Delaware,Missouri,3.997739621029642
Delaware,Montana,0.0037943873004094406
Delaware,Nebraska,0.34892313118450485
Delaware,Nevada,8.761665593937097e-05
Delaware,New Hampshire,18.219363752521595
Delaware,New Jersey,244.4091379519616
Delaware,New Mexico,0.018500568490565198
Delaware,New York,350.59718491062256
Delaware,North Carolina,84.9805882039871
Delaware,North Dakota,0.06194449826850462
Delaware,Ohio,47.70109421394742
Delaware,Oklahoma,1.5589319857245798
