,state_zip,deaths_coef_2_all,deaths_coef_1,deaths_coef_3
0,Alabama,15884.71774651096,14469.759679101418,17299.750179072427
1,Arizona,435.185005017392,396.4255783189988,473.94540969748994
2,Arkansas,5462.0019255183015,4975.570440973707,5948.438317562635
3,California,409.1991323732457,372.7579577942656,445.6404750108621
4,Colorado,1021.7220422738504,930.7292505473248,1112.7159322405314
5,Connecticut,6964.388224816297,6344.162815105217,7584.618985138692
6,DC,1563.8498549596425,1424.574032246485,1703.1277631572023
7,Delaware,1979.3152134461197,1803.0426369808235,2155.5895651453425
8,Florida,11702.323803304003,10660.180251748403,12744.47111483361
9,Georgia,17371.280841232103,15824.166298673003,18918.425484024632
10,Idaho,40.92009130501057,37.275979876131196,44.564215256972155
11,Illinois,35996.12813348793,32790.256631607095,39202.061575224834
12,Indiana,25526.878186431128,23253.372568576833,27800.435920240106
13,Iowa,3765.212030323963,3429.898028148249,4100.528271509712
14,Kansas,3081.43255984512,2807.00870298404,3355.859107262674
15,Kentucky,16957.55578545993,15447.229881178439,18467.922503443784
16,Louisiana,6315.726119891585,5753.225711545422,6878.23973751895
17,Maine,1677.512864937777,1528.1223717811938,1826.9040091762897
18,Maryland,15368.631728201808,13999.896314966825,16737.389869179333
19,Massachusetts,10291.277487881462,9374.780683606472,11207.780170212995
20,Michigan,28470.28549895032,25934.70083943787,31005.91454269086
21,Minnesota,3131.9581547006055,2853.0418365911405,3410.8757978853737
22,Mississippi,6575.471789513232,5989.843631988901,7161.112504546851
23,Missouri,14104.963224943742,12848.759151961542,15361.190392367802
24,Montana,44.04560971180262,40.12316766432754,47.968063217628576
25,Nebraska,1564.2725271527656,1424.9624327428937,1703.584048419262
26,Nevada,90.6627239190525,82.58837270532678,98.73718949235706
27,New Hampshire,1849.7937548120808,1685.0592320336318,2014.5293079281557
28,New Jersey,18264.40425147451,16637.83625893921,19890.98637047181
29,New Mexico,284.21712902022955,258.90555150535573,309.52895209398196
30,New York,37603.72129259353,34254.84008657515,40952.63491005718
31,North Carolina,26483.46584040189,24124.80779829094,28842.16928215747
32,North Dakota,231.83059218472326,211.18417756473434,252.477252970756
33,Ohio,52392.35593627738,47725.78482437247,57059.100540059604
34,Oklahoma,5587.2480858628305,5089.651518211205,6084.851822907377
35,Oregon,69.19975412064386,63.03674223934164,75.36287986208752
36,Pennsylvania,52410.8318255909,47742.81785120274,57078.97966661088
37,Rhode Island,1848.0540302015222,1683.4747630713377,2012.6342634579491
38,South Carolina,11336.24387895152,10326.640307944648,12345.863031807532
39,South Dakota,461.0544264969805,419.9951856307598,502.11387622720713
40,Tennessee,20983.89416689136,19115.042090503066,22852.781100484168
41,Texas,23855.419847874906,21730.49318804735,25980.451342142456
42,Utah,171.76366658913173,156.46688538219485,187.06059472043242
43,Vermont,995.7053028489545,907.0315504822618,1084.3797277573283
44,Virginia,21583.06830122377,19660.82000537318,23505.358912601998
45,Washington,401.36693921608935,365.59891567184803,437.1398921974074
46,West Virginia,9910.76440865058,9028.044127424268,10793.511932852136
47,Wisconsin,9134.936958761278,8321.409539898032,9948.47141754719
48,Wyoming,97.28506245089113,88.6212167295733,105.9489749801826
