,state_zip,year,deaths_coef_2_all,deaths_coef_1,deaths_coef_3
634,New Jersey,2017,86.94750903169859,78.86650604844102,95.02851962529634
635,New Jersey,2018,80.9006332567127,73.38163171469058,88.41964234123294
636,New Jersey,2019,67.42435287629239,61.15785670049334,73.69085456725726
637,New Jersey,2020,55.25758982846208,50.12188667287602,60.39329746293454
638,New Mexico,1999,26.642950143586926,24.16586442226745,29.120214417116586
639,New Mexico,2000,21.880922148281577,19.846616108674564,23.915367057861765
640,New Mexico,2001,21.73720429685432,19.71650208207513,23.75799477292731
641,New Mexico,2002,22.05978116328519,20.00915443626053,24.11048465812432
642,New Mexico,2003,26.606269899534457,24.133114607358376,29.079496734382477
643,New Mexico,2004,17.73597863909879,16.087470143944483,19.384510403336034
644,New Mexico,2005,14.505825359580308,13.157574818898457,15.85408991914689
645,New Mexico,2006,15.028636449876476,13.631776963119622,16.425513747537256
646,New Mexico,2007,14.983134668635595,13.590521343766952,16.375762279409194
647,New Mexico,2008,10.765194314844837,9.764638917323795,11.765755916091338
648,New Mexico,2009,10.916211518330382,9.901627788183665,11.930799952412805
649,New Mexico,2010,9.455249281923455,8.576452914303593,10.334049441225531
650,New Mexico,2011,7.296171493237704,6.618043505273241,7.974302844183979
651,New Mexico,2012,7.552194208338246,6.850270267203867,8.254121720018325
652,New Mexico,2013,7.411778274348398,6.722903268675291,8.100657142726815
653,New Mexico,2014,6.892495665871875,6.25188472073602,7.533110155944677
654,New Mexico,2015,6.562206973908032,5.952292044864263,7.172125706101161
655,New Mexico,2016,4.934922512787961,4.476261369583697,5.393584843031398
656,New Mexico,2017,5.757824385014166,5.2226802819122415,6.292970054471383
657,New Mexico,2018,5.158084839563639,4.678684213174361,5.637486368365782
658,New Mexico,2019,2.8863190800442347,2.618060135874305,3.154578498102219
659,New Mexico,2020,2.3928979083195165,2.1704988569572126,2.615297236063427
660,New York,1999,3708.739461628324,3364.0250816158045,4053.4582254492516
661,New York,2000,2926.9511088863064,2654.903494352159,3199.0017182058486
