state_zip,FacID,lat,lon,state_facility,deaths_coef_2,deaths_coef_2_all
Tennessee,7,34.0128,-85.9708,Alabama,45.68565724,502.1737939
Texas,7,34.0128,-85.9708,Alabama,10.08978977,502.1737939
Utah,7,34.0128,-85.9708,Alabama,0.002300489,502.1737939
Vermont,7,34.0128,-85.9708,Alabama,0.43035042,502.1737939
Virginia,7,34.0128,-85.9708,Alabama,17.55708039,502.1737939
Washington,7,34.0128,-85.9708,Alabama,7.10E-05,502.1737939
West Virginia,7,34.0128,-85.9708,Alabama,6.636114278,502.1737939
Wisconsin,7,34.0128,-85.9708,Alabama,2.926049826,502.1737939
Wyoming,7,34.0128,-85.9708,Alabama,0.001198815,502.1737939
Alabama,8,33.6446,-87.2003,Alabama,351.3769365,2818.084594
Arizona,8,33.6446,-87.2003,Alabama,0.059768592,2818.084594
Arkansas,8,33.6446,-87.2003,Alabama,47.91141059,2818.084594
California,8,33.6446,-87.2003,Alabama,0.012111652,2818.084594
Colorado,8,33.6446,-87.2003,Alabama,0.130213045,2818.084594
Connecticut,8,33.6446,-87.2003,Alabama,21.42654668,2818.084594
DC,8,33.6446,-87.2003,Alabama,5.214822375,2818.084594
Delaware,8,33.6446,-87.2003,Alabama,6.813493236,2818.084594
Florida,8,33.6446,-87.2003,Alabama,113.9325703,2818.084594
Georgia,8,33.6446,-87.2003,Alabama,204.1030243,2818.084594
Idaho,8,33.6446,-87.2003,Alabama,0.001242209,2818.084594
Illinois,8,33.6446,-87.2003,Alabama,111.577851,2818.084594
Indiana,8,33.6446,-87.2003,Alabama,91.06504309,2818.084594
Iowa,8,33.6446,-87.2003,Alabama,8.468601023,2818.084594
Kansas,8,33.6446,-87.2003,Alabama,6.906288372,2818.084594
Kentucky,8,33.6446,-87.2003,Alabama,95.97199447,2818.084594
Louisiana,8,33.6446,-87.2003,Alabama,79.74413029,2818.084594
Maine,8,33.6446,-87.2003,Alabama,4.554756768,2818.084594
Maryland,8,33.6446,-87.2003,Alabama,48.62755328,2818.084594
Massachusetts,8,33.6446,-87.2003,Alabama,31.07280052,2818.084594
Michigan,8,33.6446,-87.2003,Alabama,72.18246474,2818.084594
Minnesota,8,33.6446,-87.2003,Alabama,5.2326973,2818.084594
Mississippi,8,33.6446,-87.2003,Alabama,226.63245,2818.084594
Missouri,8,33.6446,-87.2003,Alabama,57.75212898,2818.084594
Montana,8,33.6446,-87.2003,Alabama,0.004637094,2818.084594
Nebraska,8,33.6446,-87.2003,Alabama,1.962336481,2818.084594
Nevada,8,33.6446,-87.2003,Alabama,0.000871805,2818.084594
New Hampshire,8,33.6446,-87.2003,Alabama,5.023448374,2818.084594
New Jersey,8,33.6446,-87.2003,Alabama,61.74751367,2818.084594
New Mexico,8,33.6446,-87.2003,Alabama,0.261842321,2818.084594
New York,8,33.6446,-87.2003,Alabama,111.4508711,2818.084594
North Carolina,8,33.6446,-87.2003,Alabama,167.6947803,2818.084594
North Dakota,8,33.6446,-87.2003,Alabama,0.172664528,2818.084594
Ohio,8,33.6446,-87.2003,Alabama,130.0796041,2818.084594
Oklahoma,8,33.6446,-87.2003,Alabama,18.19465182,2818.084594
Oregon,8,33.6446,-87.2003,Alabama,3.84E-06,2818.084594
Pennsylvania,8,33.6446,-87.2003,Alabama,138.3207785,2818.084594
Rhode Island,8,33.6446,-87.2003,Alabama,5.951130548,2818.084594
South Carolina,8,33.6446,-87.2003,Alabama,88.93633516,2818.084594
South Dakota,8,33.6446,-87.2003,Alabama,0.489369717,2818.084594
Tennessee,8,33.6446,-87.2003,Alabama,250.4003613,2818.084594
Texas,8,33.6446,-87.2003,Alabama,98.03295935,2818.084594
Utah,8,33.6446,-87.2003,Alabama,0.008620209,2818.084594
Vermont,8,33.6446,-87.2003,Alabama,2.428608655,2818.084594
Virginia,8,33.6446,-87.2003,Alabama,90.36838417,2818.084594
Washington,8,33.6446,-87.2003,Alabama,0.00124793,2818.084594
West Virginia,8,33.6446,-87.2003,Alabama,34.95276643,2818.084594
Wisconsin,8,33.6446,-87.2003,Alabama,20.82423556,2818.084594
Wyoming,8,33.6446,-87.2003,Alabama,0.005671886,2818.084594
Alabama,10,32.6017,-87.7811,Alabama,207.3439321,2079.148011
Arizona,10,32.6017,-87.7811,Alabama,0.076510905,2079.148011
Arkansas,10,32.6017,-87.7811,Alabama,39.66080013,2079.148011
California,10,32.6017,-87.7811,Alabama,0.009364163,2079.148011
Colorado,10,32.6017,-87.7811,Alabama,0.166082507,2079.148011
Connecticut,10,32.6017,-87.7811,Alabama,13.69314165,2079.148011
DC,10,32.6017,-87.7811,Alabama,3.624426109,2079.148011
Delaware,10,32.6017,-87.7811,Alabama,4.842392918,2079.148011
Florida,10,32.6017,-87.7811,Alabama,107.1755262,2079.148011
Georgia,10,32.6017,-87.7811,Alabama,146.421853,2079.148011
Idaho,10,32.6017,-87.7811,Alabama,0.002662078,2079.148011
Illinois,10,32.6017,-87.7811,Alabama,76.85076904,2079.148011
Indiana,10,32.6017,-87.7811,Alabama,61.36433859,2079.148011
Iowa,10,32.6017,-87.7811,Alabama,6.468440719,2079.148011
Kansas,10,32.6017,-87.7811,Alabama,6.244468344,2079.148011
Kentucky,10,32.6017,-87.7811,Alabama,59.51360964,2079.148011
Louisiana,10,32.6017,-87.7811,Alabama,100.1831363,2079.148011
Maine,10,32.6017,-87.7811,Alabama,3.04032927,2079.148011
Maryland,10,32.6017,-87.7811,Alabama,34.11558647,2079.148011
Massachusetts,10,32.6017,-87.7811,Alabama,19.9319238,2079.148011
Michigan,10,32.6017,-87.7811,Alabama,49.07496314,2079.148011
Minnesota,10,32.6017,-87.7811,Alabama,4.567195549,2079.148011
Mississippi,10,32.6017,-87.7811,Alabama,235.0387689,2079.148011
Missouri,10,32.6017,-87.7811,Alabama,43.13291406,2079.148011
Montana,10,32.6017,-87.7811,Alabama,0.004402432,2079.148011
Nebraska,10,32.6017,-87.7811,Alabama,1.873155217,2079.148011
Nevada,10,32.6017,-87.7811,Alabama,0.000918332,2079.148011
New Hampshire,10,32.6017,-87.7811,Alabama,3.242691946,2079.148011
New Jersey,10,32.6017,-87.7811,Alabama,41.35300513,2079.148011
New Mexico,10,32.6017,-87.7811,Alabama,0.275450386,2079.148011
New York,10,32.6017,-87.7811,Alabama,72.64865167,2079.148011
North Carolina,10,32.6017,-87.7811,Alabama,114.5778183,2079.148011
North Dakota,10,32.6017,-87.7811,Alabama,0.138469974,2079.148011
Ohio,10,32.6017,-87.7811,Alabama,90.74910413,2079.148011
Oklahoma,10,32.6017,-87.7811,Alabama,16.51473387,2079.148011
Oregon,10,32.6017,-87.7811,Alabama,2.77E-07,2079.148011
Pennsylvania,10,32.6017,-87.7811,Alabama,93.92122015,2079.148011
Rhode Island,10,32.6017,-87.7811,Alabama,3.887347623,2079.148011
South Carolina,10,32.6017,-87.7811,Alabama,64.45879831,2079.148011
South Dakota,10,32.6017,-87.7811,Alabama,0.419103959,2079.148011
Tennessee,10,32.6017,-87.7811,Alabama,147.4184696,2079.148011
Texas,10,32.6017,-87.7811,Alabama,102.3467413,2079.148011
Utah,10,32.6017,-87.7811,Alabama,0.010686355,2079.148011
Vermont,10,32.6017,-87.7811,Alabama,1.636878395,2079.148011
Virginia,10,32.6017,-87.7811,Alabama,63.41707765,2079.148011
Washington,10,32.6017,-87.7811,Alabama,0.003064698,2079.148011
West Virginia,10,32.6017,-87.7811,Alabama,22.99192791,2079.148011
Wisconsin,10,32.6017,-87.7811,Alabama,14.70707961,2079.148011
Wyoming,10,32.6017,-87.7811,Alabama,0.008078348,2079.148011
Alabama,26,33.2442,-86.4567,Alabama,994.923205,6186.809227
Arizona,26,33.2442,-86.4567,Alabama,0.074246404,6186.809227
Arkansas,26,33.2442,-86.4567,Alabama,81.5762439,6186.809227
California,26,33.2442,-86.4567,Alabama,0.021537767,6186.809227
Colorado,26,33.2442,-86.4567,Alabama,0.318892177,6186.809227
Connecticut,26,33.2442,-86.4567,Alabama,48.32687322,6186.809227
DC,26,33.2442,-86.4567,Alabama,12.75743422,6186.809227
Delaware,26,33.2442,-86.4567,Alabama,16.67293128,6186.809227
Florida,26,33.2442,-86.4567,Alabama,302.3255101,6186.809227
Georgia,26,33.2442,-86.4567,Alabama,571.2079141,6186.809227
Idaho,26,33.2442,-86.4567,Alabama,0.008949071,6186.809227
Illinois,26,33.2442,-86.4567,Alabama,198.0936788,6186.809227
Indiana,26,33.2442,-86.4567,Alabama,171.5429047,6186.809227
Iowa,26,33.2442,-86.4567,Alabama,15.54384761,6186.809227
Kansas,26,33.2442,-86.4567,Alabama,12.74082901,6186.809227
Kentucky,26,33.2442,-86.4567,Alabama,187.0883557,6186.809227
Louisiana,26,33.2442,-86.4567,Alabama,143.0366463,6186.809227
Maine,26,33.2442,-86.4567,Alabama,10.47020022,6186.809227
Maryland,26,33.2442,-86.4567,Alabama,118.1591068,6186.809227
Massachusetts,26,33.2442,-86.4567,Alabama,70.0309923,6186.809227
Michigan,26,33.2442,-86.4567,Alabama,139.1042627,6186.809227
Minnesota,26,33.2442,-86.4567,Alabama,9.855626155,6186.809227
Mississippi,26,33.2442,-86.4567,Alabama,290.3530145,6186.809227
Missouri,26,33.2442,-86.4567,Alabama,101.2129124,6186.809227
Montana,26,33.2442,-86.4567,Alabama,0.012526116,6186.809227
Nebraska,26,33.2442,-86.4567,Alabama,3.699232855,6186.809227
Nevada,26,33.2442,-86.4567,Alabama,0.00091889,6186.809227
New Hampshire,26,33.2442,-86.4567,Alabama,11.58550342,6186.809227
New Jersey,26,33.2442,-86.4567,Alabama,142.1675336,6186.809227
New Mexico,26,33.2442,-86.4567,Alabama,0.479674077,6186.809227
New York,26,33.2442,-86.4567,Alabama,249.8536375,6186.809227
North Carolina,26,33.2442,-86.4567,Alabama,407.2767092,6186.809227
North Dakota,26,33.2442,-86.4567,Alabama,0.290694578,6186.809227
Ohio,26,33.2442,-86.4567,Alabama,274.9829665,6186.809227
Oklahoma,26,33.2442,-86.4567,Alabama,32.0802028,6186.809227
Oregon,26,33.2442,-86.4567,Alabama,5.65E-05,6186.809227
Pennsylvania,26,33.2442,-86.4567,Alabama,316.1165526,6186.809227
Rhode Island,26,33.2442,-86.4567,Alabama,13.45320137,6186.809227
South Carolina,26,33.2442,-86.4567,Alabama,232.7600358,6186.809227
South Dakota,26,33.2442,-86.4567,Alabama,0.845602614,6186.809227
Tennessee,26,33.2442,-86.4567,Alabama,466.5516151,6186.809227
Texas,26,33.2442,-86.4567,Alabama,192.4133647,6186.809227
Utah,26,33.2442,-86.4567,Alabama,0.030969555,6186.809227
Vermont,26,33.2442,-86.4567,Alabama,5.534257707,6186.809227
Virginia,26,33.2442,-86.4567,Alabama,222.8976829,6186.809227
Washington,26,33.2442,-86.4567,Alabama,0.00400343,6186.809227
West Virginia,26,33.2442,-86.4567,Alabama,78.99138603,6186.809227
Wisconsin,26,33.2442,-86.4567,Alabama,39.31836929,6186.809227
Wyoming,26,33.2442,-86.4567,Alabama,0.016415419,6186.809227
Alabama,47,34.7439,-87.8486,Alabama,182.6760854,2543.777887
Arizona,47,34.7439,-87.8486,Alabama,0.038162645,2543.777887
Arkansas,47,34.7439,-87.8486,Alabama,55.09377087,2543.777887
California,47,34.7439,-87.8486,Alabama,0.012705787,2543.777887
Colorado,47,34.7439,-87.8486,Alabama,0.115348482,2543.777887
Connecticut,47,34.7439,-87.8486,Alabama,19.51000285,2543.777887
DC,47,34.7439,-87.8486,Alabama,4.575610162,2543.777887
Delaware,47,34.7439,-87.8486,Alabama,5.966289836,2543.777887
Florida,47,34.7439,-87.8486,Alabama,78.26555455,2543.777887
Georgia,47,34.7439,-87.8486,Alabama,127.1429285,2543.777887
Idaho,47,34.7439,-87.8486,Alabama,0.002717624,2543.777887
Illinois,47,34.7439,-87.8486,Alabama,146.8445194,2543.777887
Indiana,47,34.7439,-87.8486,Alabama,117.7242532,2543.777887
Iowa,47,34.7439,-87.8486,Alabama,9.028032874,2543.777887
Kansas,47,34.7439,-87.8486,Alabama,6.765420755,2543.777887
Kentucky,47,34.7439,-87.8486,Alabama,107.8940635,2543.777887
Louisiana,47,34.7439,-87.8486,Alabama,68.33421722,2543.777887
Maine,47,34.7439,-87.8486,Alabama,4.504354305,2543.777887
Maryland,47,34.7439,-87.8486,Alabama,43.47412424,2543.777887
Massachusetts,47,34.7439,-87.8486,Alabama,29.06829685,2543.777887
Michigan,47,34.7439,-87.8486,Alabama,82.01000132,2543.777887
Minnesota,47,34.7439,-87.8486,Alabama,5.404077698,2543.777887
Mississippi,47,34.7439,-87.8486,Alabama,212.2130443,2543.777887
Missouri,47,34.7439,-87.8486,Alabama,74.64921403,2543.777887
Montana,47,34.7439,-87.8486,Alabama,0.00512053,2543.777887
Nebraska,47,34.7439,-87.8486,Alabama,1.985944616,2543.777887
Nevada,47,34.7439,-87.8486,Alabama,0.00199723,2543.777887
New Hampshire,47,34.7439,-87.8486,Alabama,4.918226534,2543.777887
New Jersey,47,34.7439,-87.8486,Alabama,53.71695405,2543.777887
New Mexico,47,34.7439,-87.8486,Alabama,0.188371436,2543.777887
New York,47,34.7439,-87.8486,Alabama,102.9644529,2543.777887
North Carolina,47,34.7439,-87.8486,Alabama,119.5313137,2543.777887
North Dakota,47,34.7439,-87.8486,Alabama,0.168612719,2543.777887
Ohio,47,34.7439,-87.8486,Alabama,143.9526349,2543.777887
Oklahoma,47,34.7439,-87.8486,Alabama,15.90443943,2543.777887
Oregon,47,34.7439,-87.8486,Alabama,4.92E-06,2543.777887
Pennsylvania,47,34.7439,-87.8486,Alabama,131.0365391,2543.777887
Rhode Island,47,34.7439,-87.8486,Alabama,5.426130841,2543.777887
South Carolina,47,34.7439,-87.8486,Alabama,59.85383815,2543.777887
South Dakota,47,34.7439,-87.8486,Alabama,0.46006772,2543.777887
Tennessee,47,34.7439,-87.8486,Alabama,299.7455848,2543.777887
Texas,47,34.7439,-87.8486,Alabama,85.08975128,2543.777887
Utah,47,34.7439,-87.8486,Alabama,0.009378095,2543.777887
Vermont,47,34.7439,-87.8486,Alabama,2.527278034,2543.777887
Virginia,47,34.7439,-87.8486,Alabama,76.21457389,2543.777887
Washington,47,34.7439,-87.8486,Alabama,0.003779764,2543.777887
West Virginia,47,34.7439,-87.8486,Alabama,33.08386733,2543.777887
Wisconsin,47,34.7439,-87.8486,Alabama,25.67059549,2543.777887
Wyoming,47,34.7439,-87.8486,Alabama,0.005632875,2543.777887
Alabama,50,34.8825,-85.7547,Alabama,316.5344411,2004.51326
Arizona,50,34.8825,-85.7547,Alabama,0.014594242,2004.51326
Arkansas,50,34.8825,-85.7547,Alabama,19.84794911,2004.51326
California,50,34.8825,-85.7547,Alabama,0.010187469,2004.51326
Colorado,50,34.8825,-85.7547,Alabama,0.0885917,2004.51326
Connecticut,50,34.8825,-85.7547,Alabama,16.75566125,2004.51326
DC,50,34.8825,-85.7547,Alabama,4.249433566,2004.51326
Delaware,50,34.8825,-85.7547,Alabama,5.419890294,2004.51326
Florida,50,34.8825,-85.7547,Alabama,61.04058344,2004.51326
Georgia,50,34.8825,-85.7547,Alabama,155.2504487,2004.51326
Idaho,50,34.8825,-85.7547,Alabama,0.001388781,2004.51326
Illinois,50,34.8825,-85.7547,Alabama,71.81030327,2004.51326
Indiana,50,34.8825,-85.7547,Alabama,70.76579073,2004.51326
Iowa,50,34.8825,-85.7547,Alabama,4.731278289,2004.51326
Kansas,50,34.8825,-85.7547,Alabama,3.29557564,2004.51326
Kentucky,50,34.8825,-85.7547,Alabama,83.19076606,2004.51326
Louisiana,50,34.8825,-85.7547,Alabama,27.88861204,2004.51326
Maine,50,34.8825,-85.7547,Alabama,3.529026603,2004.51326
Maryland,50,34.8825,-85.7547,Alabama,40.12397427,2004.51326
Massachusetts,50,34.8825,-85.7547,Alabama,24.79379768,2004.51326
Michigan,50,34.8825,-85.7547,Alabama,55.69520599,2004.51326
Minnesota,50,34.8825,-85.7547,Alabama,2.837644644,2004.51326
Mississippi,50,34.8825,-85.7547,Alabama,56.34747908,2004.51326
Missouri,50,34.8825,-85.7547,Alabama,31.73705881,2004.51326
Montana,50,34.8825,-85.7547,Alabama,0.003638891,2004.51326
Nebraska,50,34.8825,-85.7547,Alabama,0.934852589,2004.51326
Nevada,50,34.8825,-85.7547,Alabama,0.000120241,2004.51326
New Hampshire,50,34.8825,-85.7547,Alabama,3.973967138,2004.51326
New Jersey,50,34.8825,-85.7547,Alabama,48.17275038,2004.51326
New Mexico,50,34.8825,-85.7547,Alabama,0.090836078,2004.51326
New York,50,34.8825,-85.7547,Alabama,86.99273055,2004.51326
North Carolina,50,34.8825,-85.7547,Alabama,122.4066381,2004.51326
North Dakota,50,34.8825,-85.7547,Alabama,0.09583669,2004.51326
Ohio,50,34.8825,-85.7547,Alabama,111.0442574,2004.51326
Oklahoma,50,34.8825,-85.7547,Alabama,8.087731335,2004.51326
Oregon,50,34.8825,-85.7547,Alabama,1.48E-05,2004.51326
Pennsylvania,50,34.8825,-85.7547,Alabama,113.3870751,2004.51326
Rhode Island,50,34.8825,-85.7547,Alabama,4.745468331,2004.51326
South Carolina,50,34.8825,-85.7547,Alabama,64.67058832,2004.51326
South Dakota,50,34.8825,-85.7547,Alabama,0.22502926,2004.51326
Tennessee,50,34.8825,-85.7547,Alabama,226.2095561,2004.51326
Texas,50,34.8825,-85.7547,Alabama,37.60563136,2004.51326
Utah,50,34.8825,-85.7547,Alabama,0.005339494,2004.51326
Vermont,50,34.8825,-85.7547,Alabama,1.983080717,2004.51326
Virginia,50,34.8825,-85.7547,Alabama,74.16477556,2004.51326
Washington,50,34.8825,-85.7547,Alabama,0.000417089,2004.51326
West Virginia,50,34.8825,-85.7547,Alabama,30.37085526,2004.51326
Wisconsin,50,34.8825,-85.7547,Alabama,13.37807363,2004.51326
Wyoming,50,34.8825,-85.7547,Alabama,0.004313132,2004.51326
Alabama,51,32.0306,-93.5692,Louisiana,32.22402791,1140.068465
Arizona,51,32.0306,-93.5692,Louisiana,0.255356229,1140.068465
Arkansas,51,32.0306,-93.5692,Louisiana,53.63428667,1140.068465
California,51,32.0306,-93.5692,Louisiana,0.113781882,1140.068465
Colorado,51,32.0306,-93.5692,Louisiana,0.278067603,1140.068465
Connecticut,51,32.0306,-93.5692,Louisiana,5.437474749,1140.068465
DC,51,32.0306,-93.5692,Louisiana,1.146930255,1140.068465
Delaware,51,32.0306,-93.5692,Louisiana,1.69098577,1140.068465
Florida,51,32.0306,-93.5692,Louisiana,28.11499182,1140.068465
Georgia,51,32.0306,-93.5692,Louisiana,31.13126494,1140.068465
Idaho,51,32.0306,-93.5692,Louisiana,0.001427791,1140.068465
Illinois,51,32.0306,-93.5692,Louisiana,62.73819884,1140.068465
Indiana,51,32.0306,-93.5692,Louisiana,33.16810474,1140.068465
Iowa,51,32.0306,-93.5692,Louisiana,8.983506454,1140.068465
Kansas,51,32.0306,-93.5692,Louisiana,11.81276566,1140.068465
Kentucky,51,32.0306,-93.5692,Louisiana,21.55790162,1140.068465
Louisiana,51,32.0306,-93.5692,Louisiana,72.48102906,1140.068465
Maine,51,32.0306,-93.5692,Louisiana,1.361753488,1140.068465
Maryland,51,32.0306,-93.5692,Louisiana,11.45628426,1140.068465
Massachusetts,51,32.0306,-93.5692,Louisiana,8.099102702,1140.068465
Michigan,51,32.0306,-93.5692,Louisiana,28.92795464,1140.068465
Minnesota,51,32.0306,-93.5692,Louisiana,6.002060319,1140.068465
Mississippi,51,32.0306,-93.5692,Louisiana,28.44143012,1140.068465
Missouri,51,32.0306,-93.5692,Louisiana,51.20375826,1140.068465
Montana,51,32.0306,-93.5692,Louisiana,0.005630033,1140.068465
Nebraska,51,32.0306,-93.5692,Louisiana,3.519129304,1140.068465
Nevada,51,32.0306,-93.5692,Louisiana,0.015844158,1140.068465
