state_zip,state_facility,deaths_coef_2,deaths_coef_1,deaths_coef_3
Alabama,Alabama,2733.649328880317,2490.153883907508,2977.155807937854
Alabama,Arizona,10.602458367142184,9.658278747571286,11.546638252431242
Alabama,Arkansas,120.81357679836374,110.05455400400396,131.5726464046693
Alabama,Colorado,23.68162252867945,21.572703228205413,25.79054286027177
Alabama,Connecticut,0.9130543759424875,0.8317441964429584,0.9943645867960494
Alabama,Delaware,11.186041904964679,10.189889672128976,12.182194967401893
Alabama,Florida,552.2635593224525,503.07983822376895,601.4478910562906
Alabama,Georgia,4719.042816682098,4298.504404149052,5139.638890870712
Alabama,Illinois,414.8940817088478,377.9458395176267,451.8424756256126
Alabama,Indiana,1142.3753691702404,1040.6390588605432,1244.112583232985
Alabama,Iowa,91.74149607564071,83.57160045143154,99.91140372393012
Alabama,Kansas,68.66429306484315,62.54947713091535,74.77912280316956
Alabama,Kentucky,888.1454124197921,809.0485247201769,967.2432936933577
Alabama,Louisiana,175.08095386462054,159.48908464713,190.67290632125966
Alabama,Maryland,107.34909972556666,97.7891886385915,116.90904535362576
Alabama,Massachusetts,7.643684821008254,6.962991590913506,8.324378430877381
Alabama,Michigan,186.55225978730527,169.9390835963574,203.16547139899495
Alabama,Minnesota,38.613106568747654,35.17448395258481,42.0517328238926
Alabama,Mississippi,220.28653234891033,200.66831534426854,239.90496280349265
Alabama,Missouri,307.95386307092554,280.5293005388271,335.3785074760257
Alabama,Montana,6.935670634453856,6.318029132485732,7.553312300082249
Alabama,Nebraska,44.40119530904828,40.447124434183074,48.35527039721687
Alabama,Nevada,2.984830098477675,2.7190222728746427,3.2506380110060955
Alabama,New Hampshire,4.1375104620026395,3.7690525922880185,4.505968549183305
Alabama,New Jersey,11.77079354490258,10.722566554386061,12.819021561682218
Alabama,New Mexico,8.476854869245111,7.721966217655429,9.231743768212878
Alabama,New York,32.33147637673562,29.452259204570417,35.21069544960674
Alabama,North Carolina,471.44860243859756,429.46319516279647,513.4343234321352
Alabama,North Dakota,53.18744100127681,48.45091813535818,57.92397052365713
Alabama,Ohio,798.4648122520364,727.3571305063799,869.5729203229142
Alabama,Oklahoma,79.81914060281466,72.71096688284086,86.9273257302589
Alabama,Oregon,1.7705503743837059,1.6128776609692992,1.9282231469352435
Alabama,Pennsylvania,359.3558432799376,327.35336566105843,391.35848616208995
Alabama,South Carolina,285.4313262649192,260.012227745647,310.850551672617
Alabama,South Dakota,6.879271914218459,6.266649114053063,7.491895613256938
Alabama,Tennessee,875.9974854194757,797.9819656699856,954.014084442465
Alabama,Texas,480.55894573730285,437.76298803532933,523.3550703376782
Alabama,Utah,5.073975280538344,4.622123294665867,5.525827353342444
Alabama,Virginia,120.17352342991849,109.47156678003705,130.87551367067596
Alabama,Washington,1.933435125025605,1.7612567305790128,2.1056136457105463
Alabama,West Virginia,289.1896805411539,263.43587049695986,314.94362132024787
Alabama,Wisconsin,97.15332331018752,88.50149084357327,105.80516753684414
Alabama,Wyoming,25.78944675789755,23.492820854694695,28.08607350095625
Arizona,Alabama,0.677880260496909,0.6175131222572456,0.7382474036150337
Arizona,Arizona,203.8323544206902,185.67963079864188,221.985251759847
Arizona,Arkansas,0.6820702331846067,0.6213299677548293,0.7428105031942286
Arizona,Colorado,10.09238621877627,9.193630613349606,10.991141957368534
Arizona,Connecticut,5.437429135835008e-06,4.9532115784511905e-06,5.9216476937518115e-06
Arizona,Delaware,0.0006559525821675091,0.0005975381883290568,0.0007143669774461656
Arizona,Florida,0.5782904674970948,0.5267920823657997,0.629788856241268
Arizona,Georgia,0.19846774464692832,0.18079364107915072,0.21614184853830273
Arizona,Illinois,0.555891848848396,0.5063881358630254,0.6053955628625856
Arizona,Indiana,0.6057488161235498,0.5518052021950764,0.6596924310902392
Arizona,Iowa,0.9157805290885271,0.834227715432039,0.9973333472541468
Arizona,Kansas,1.393653443034157,1.2695446805162114,1.5177622185351498
Arizona,Kentucky,0.2680116788620196,0.2441444957243419,0.2918788622808837
Arizona,Louisiana,1.094178458921576,0.9967387992661694,1.1916181263224634
Arizona,Maryland,0.005413019875764196,0.00493097546873257,0.005895064279593401
Arizona,Massachusetts,0.0002494054616734824,0.00022719521526279535,0.00027161570998398193
Arizona,Michigan,0.15645966239256273,0.1425264954950992,0.17039282949536078
Arizona,Minnesota,0.33781715346063773,0.3077335977349788,0.3679007098169079
Arizona,Mississippi,0.3835856955495292,0.34942631215811815,0.41774508199875177
Arizona,Missouri,1.3311194569974405,1.2125795522007456,1.4496593682779182
Arizona,Montana,1.4390972875188615,1.3109416412866073,1.567252943521873
Arizona,Nebraska,2.9190573863724727,2.6591068528975454,3.179007996997488
Arizona,Nevada,86.40745424601025,78.70858197637787,94.10711906287962
Arizona,New Hampshire,0.00015285084264822122,0.00013923905082056514,0.0001664626321233174
Arizona,New Jersey,0.00038626804353425465,0.00035186980395640626,0.0004206662807346716
Arizona,New Mexico,36.322895297954666,33.0882047806289,39.55759288684301
Arizona,New York,0.004613228928162499,0.004202408113060078,0.005024049731436599
Arizona,North Carolina,0.03580712084284178,0.03261839749467066,0.03899584423447607
Arizona,North Dakota,3.62119905633318,3.298720917560841,3.9436772617728773
Arizona,Ohio,0.24170835788539657,0.2201835579857449,0.26323315811214826
Arizona,Oklahoma,1.7262799139741032,1.572549845345478,1.880009995286829
Arizona,Oregon,2.3197248584675445,2.11314641949408,2.5263033991743993
Arizona,Pennsylvania,0.07181560296567027,0.06542022427203568,0.07821098178196383
Arizona,South Carolina,0.14900105644848555,0.13573209557024452,0.16227001818582296
