year,FacID,deaths_coef_1,deaths_coef_2,deaths_coef_3
1999,3,242.56146973196593,264.58569478495764,286.61035054937037
1999,7,43.32701139752339,47.2607038060492,51.19441708912446
1999,8,416.62514851808777,454.4536131919739,492.28273654489635
1999,10,224.58774961224015,244.98012578973223,265.3729237930527
1999,26,429.5447547720983,468.54652089228904,507.54900524899307
1999,47,334.6047911053841,364.9884220947911,395.3729817413029
1999,50,231.8008510579703,252.84640487138566,273.89209996295403
1999,51,92.83692842130922,101.26666665395045,109.69661660899988
1999,56,83.03471641266276,90.5735625080035,98.11245874313057
1999,59,8.150161521082556,8.890102979255175,9.630045380421162
1999,60,7.352425085518324,8.01994116563114,8.687458090972171
1999,87,2.903362057825192,3.1669541083304016,3.4305464913313477
1999,108,6.551725447749159,7.146545865753315,7.741366821224227
1999,113,34.66761247488768,37.815120664039675,40.962647090610915
1999,126,5.452798411551887,5.947875751559675,6.442957985322859
1999,127,26.366172258242766,28.759962216596975,31.153762392152082
1999,130,46.52935341561787,50.753774640406725,54.97821590851617
1999,136,112.88508539467624,123.13426864915377,133.38354961717354
1999,160,10.391569487652603,11.335032083168235,12.278500364097884
1999,165,82.92602362398627,90.45527336918806,97.98461848696061
1999,207,77.5027605833865,84.53933411047792,91.57595143363947
1999,298,154.56902406792986,168.60485017667108,182.64114822808008
1999,384,132.83942428412803,144.90006595103927,156.96077977838357
1999,465,16.688755652073862,18.203973365113182,19.71920458920317
1999,468,5.23226828498248,5.707315415417369,6.182365983102601
1999,469,76.74087325638266,83.70957812589327,90.67854354676372
1999,470,40.63255879888028,44.32185769989639,48.01121579695013
1999,477,10.277746682121833,11.210898893823716,12.144060677780551
1999,492,21.265137293415922,23.195846110263485,25.126570297786632
1999,525,16.671962787466313,18.185612977538444,19.699269530836304
1999,527,3.282522573327165,3.5805385737829156,3.878555035729304
1999,564,30.79544523234012,33.591446874696864,36.38747329009921
1999,568,51.03919152342328,55.67327433773261,60.30741431993333
1999,593,26.319422911104812,28.70897860966175,31.098546192345555
1999,594,111.56534677795555,121.69474205385237,131.82423975295865
1999,602,281.1378556522084,306.66614184484945,332.19515724318336
1999,628,292.6211813314684,319.1895027557975,345.75813517036266
1999,641,157.73727199956377,172.0590534572443,186.3810265162854
1999,642,12.303747885838,13.420786575700403,14.537826537851144
1999,643,177.7506747318062,193.88955743896247,210.0286528831037
1999,645,247.21507997902984,269.6613552118424,292.10798756229707
1999,646,143.6334739337131,156.6740306126239,169.7146505029609
1999,663,15.416720648597494,16.816388899369727,18.216059986989823
1999,676,20.922047874166473,22.82157186597226,24.721105156453866
1999,699,15.975503340403328,17.425897326989634,18.876293325831185
1999,703,716.916148239547,782.0219510826705,847.1308380343169
1999,708,157.22397237798808,171.49967115716098,185.77564794411427
1999,709,360.9122352858041,393.6830667383453,426.4546273621743
1999,710,121.06653837247094,132.0587832585795,143.05117331258825
1999,727,17.14052355129874,18.696710490998257,20.252903313806318
1999,728,172.4314968126937,188.08694267012777,203.74251468732012
1999,733,25.08416902174028,27.361527077848923,29.63888843234098
1999,856,412.6442414897448,450.1128227185707,487.5823181352925
1999,861,287.66640588297327,313.7882649186016,339.9109964934347
1999,862,66.89172475802552,72.96482218093082,79.03794296021943
1999,863,66.29063400883288,72.30918054788269,78.32775391651265
1999,864,99.08345968399409,108.07935578885737,117.07530516337408
1999,867,48.6645476144054,53.08283000961844,57.50113435222837
1999,874,44.74866246682061,48.811484449421236,52.874337445284006
1999,876,118.41630443626948,129.16764865905586,139.91908949504443
1999,879,206.50444227695033,225.25339125999238,244.00248188307782
1999,883,118.15384600134398,128.88137586687006,139.60900462441285
1999,884,103.19179007385542,112.56062342539481,121.92950183573976
1999,886,30.46859820489385,33.23487702538041,36.00117244804922
1999,887,119.23030384498753,130.0551466031238,140.88001892514873
1999,889,1390.0535061603164,1516.3115419101289,1642.5792484223944
1999,891,50.46833020139788,55.05043768131412,59.63257768216579
1999,892,165.4810323246218,180.50645913941761,195.5321784652055
1999,897,67.07002146401938,73.15937211566539,79.24875711986729
1999,898,80.09457311013465,87.36653455406712,94.63855357719079
1999,963,194.46163378330806,212.1174950110637,229.77354002943045
1999,964,44.92659995318037,49.00546907947043,53.084351335375096
1999,976,94.99243953321027,103.61679204139831,112.24117640972685
1999,981,49.642758998561064,54.14986131603907,58.65698727828914
1999,983,313.30965945264364,341.7555615121889,370.2016609863505
1999,988,335.39624294069506,365.8513558102077,396.30733512819404
1999,990,281.10011063073216,306.6235213259979,332.1474200220975
1999,991,101.86661502572235,111.11510398882369,120.3636322560386
1999,994,287.921107532834,314.0630270033904,340.2053087241827
1999,995,29.343893539704307,32.00802905492126,34.67217555105416
1999,996,55.78490650882934,60.8496271139657,65.91436900079506
1999,997,85.1748338459403,92.90894928527995,100.64327681869707
1999,1001,523.3563492376251,570.8817693660502,618.4090235019778
1999,1004,72.20369262972493,78.75904272325167,85.3144145795563
1999,1007,65.10576170917038,71.01668759126198,76.92763220783489
1999,1008,308.15770148758537,336.13663416688104,364.11589179163377
1999,1010,371.3671682531734,405.08583277103935,438.8050019154864
1999,1012,66.45206199974187,72.48523124243133,78.51842182132842
1999,1040,133.70718118125643,145.84740091175078,157.98782539852624
1999,1043,104.93837436053867,114.46594951296771,123.99359854980972
1999,1046,38.49392758061196,41.98877192186915,45.48362670091765
1999,1047,44.560580999609925,48.606232895710164,52.65190006093067
1999,1048,24.441966556496524,26.66106352358265,28.88017096511126
1999,1058,11.084063306385634,12.090365578897627,13.096668482148095
