,state_zip,year,deaths_coef_2_all,deaths_coef_1,deaths_coef_3
0,Alabama,1999,1554.9652240175924,1416.459129257194,1693.4776062935496
1,Alabama,2000,1711.5624713440493,1559.1037098269476,1864.028939600496
2,Alabama,2001,1181.544081557951,1076.3001331858545,1286.79276027592
3,Alabama,2002,1240.030340259123,1129.5772259041332,1350.4883418168095
4,Alabama,2003,1074.2150601826363,978.5336204390458,1169.9003374772456
5,Alabama,2004,1127.9850088979267,1027.5097320452144,1228.4651949652161
6,Alabama,2005,1296.1114144330397,1180.6527292121473,1411.5772181720126
7,Alabama,2006,1461.3659140496547,1331.1790893419939,1591.562161493966
8,Alabama,2007,1799.561558943716,1639.2136376828773,1959.9274924253687
9,Alabama,2008,1003.6253908529126,914.2247026884271,1093.030984738339
10,Alabama,2009,504.3398034883798,459.42225684514784,549.2582677097467
11,Alabama,2010,480.12312350368114,437.36380062760156,522.8830389586437
12,Alabama,2011,424.6337827766652,386.8158529605092,462.4523220440265
13,Alabama,2012,242.50495594188837,220.90829921378398,264.10179243430775
14,Alabama,2013,216.89420334505007,197.57859880229756,236.20992041250693
15,Alabama,2014,187.16700647871912,170.49887228510045,203.83521776365953
16,Alabama,2015,121.10009790452284,110.3156768528574,131.88454284521814
17,Alabama,2016,68.51869105337515,62.416862791728164,74.62052893339414
18,Alabama,2017,52.994192511252656,48.2748761162704,57.71351611843463
19,Alabama,2018,62.704863297489766,57.12077194642,68.2889643727388
20,Alabama,2019,40.76819191906806,37.13764612799817,44.39874269044353
21,Alabama,2020,32.0023697522661,29.152454947869018,34.85228753038261
22,Arizona,1999,35.94599342820306,32.744385029747235,39.14770323058376
23,Arizona,2000,32.642104073293694,29.73473606251955,35.54956959222974
24,Arizona,2001,33.80260003034856,30.791624424079195,36.8137244882207
25,Arizona,2002,33.233776809108335,30.27362448593122,36.194045073289274
26,Arizona,2003,42.61861353591737,38.82256793958117,46.41480396456461
27,Arizona,2004,39.96248221618942,36.40288291630437,43.522243902832365
28,Arizona,2005,32.15897491842209,29.294382176067483,35.02371385535793
29,Arizona,2006,21.451148103281916,19.54079507961437,23.36151460350904
30,Arizona,2007,25.213356087153333,22.967945764597296,27.458784240940336
31,Arizona,2008,17.09042043648943,15.56843236292764,18.612416103919944
32,Arizona,2009,14.629104367675346,13.326320902719273,15.931891984544523
33,Arizona,2010,13.935213556909527,12.694219529178579,15.176212413216895
34,Arizona,2011,14.855790633762105,13.532822388112306,16.17876258965002
35,Arizona,2012,11.649871536030552,10.612412021728002,12.687332264926356
36,Arizona,2013,13.240487259439218,12.061374960202537,14.41960156569959
37,Arizona,2014,8.82184796682395,8.036229339694922,9.607468285481964
38,Arizona,2015,11.645951345477743,10.608840385749886,12.683063627218734
39,Arizona,2016,6.948134433058293,6.32938122163428,7.5668881549585265
40,Arizona,2017,9.476083747200045,8.632208742002916,10.319959440976586
41,Arizona,2018,7.593247147171464,6.917042880617509,8.269452311839364
42,Arizona,2019,3.652284099183028,3.3270356105272403,3.9775330730704037
43,Arizona,2020,4.617519286253517,4.2063140954618286,5.028724930459304
44,Arkansas,1999,580.1642149311507,528.4945375734613,631.8347622003134
45,Arkansas,2000,449.4825529773421,409.4527443680199,489.51278069235497
46,Arkansas,2001,371.27673367679785,338.21180970430606,404.3419907236622
47,Arkansas,2002,447.02580592597707,407.2151007685823,486.8368669556602
48,Arkansas,2003,391.44245469696426,356.58147112171133,426.3038195102155
49,Arkansas,2004,322.94908735864857,294.18825639631393,351.7101766232901
50,Arkansas,2005,564.5867219003552,514.3057865498062,614.8682292548132
51,Arkansas,2006,366.6714988068293,334.0165244012654,399.32683744869445
52,Arkansas,2007,384.80602953965405,350.5364205868,419.0759449143739
53,Arkansas,2008,241.20788613550636,219.7268549802955,262.68907398116903
54,Arkansas,2009,188.78765184975902,171.97501954064504,205.6003955020341
55,Arkansas,2010,194.46596282763667,177.1475285457682,211.7845343942826
56,Arkansas,2011,183.1983425449314,166.8831352071467,199.51372351356872
57,Arkansas,2012,147.44723420662754,134.31610757477767,160.57846689037743
58,Arkansas,2013,138.2422950509713,125.93094917422218,150.55373613715085
59,Arkansas,2014,122.02869940369412,111.1612838620609,132.89619748943798
60,Arkansas,2015,89.66471357948456,81.67964452271588,97.6498174713796
61,Arkansas,2016,70.3614003735908,64.09533046375115,76.62750791893632
62,Arkansas,2017,69.18825114022235,63.02662805822456,75.34991681654958
63,Arkansas,2018,64.97330171861769,59.18704220059054,70.75960174812263
64,Arkansas,2019,41.53265165290264,37.83395013177343,45.231373498849926
65,Arkansas,2020,32.49843522063838,29.604315241468697,35.39256387739825
66,California,1999,52.94225597698767,48.22747590142129,57.65706062581165
67,California,2000,40.66989474385734,37.04801449866119,44.29179719647019
68,California,2001,43.73452533575954,39.83969598923026,47.629383786867
69,California,2002,33.228428052279845,30.26923628870143,36.18764099190947
70,California,2003,29.510522895942582,26.882429482707273,32.13863580500521
71,California,2004,48.43488516572498,44.12148832579609,52.74830865507356
72,California,2005,33.451119975953745,30.472094442406746,36.43016716389977
73,California,2006,10.52491724992337,9.58764239069043,11.462192470792472
74,California,2007,12.794809417019119,11.6553939821291,13.934225291019251
75,California,2008,10.489918400629389,9.555760802830484,11.424076259005265
76,California,2009,13.710130088151791,12.489202937138403,14.93105765431403
77,California,2010,9.5594754793602,8.708176729944606,10.41077442454916
78,California,2011,7.21315496644885,6.570802831288838,7.855507242895322
79,California,2012,6.081356006652678,5.539793880973702,6.6229182383713
80,California,2013,16.495644588316384,15.026659128440865,17.964630567555602
81,California,2014,7.329469165397698,6.6767585770083615,7.982179963787155
82,California,2015,9.572068759472758,8.719648083396232,10.424489721387822
83,California,2016,6.430858025651385,5.858172012572116,7.003544098931806
