state_zip,state_facility,deaths_coef_2
Alabama,Alabama,2733.649328880317
Alabama,Arizona,10.602458367142184
Alabama,Arkansas,120.81357679836374
Alabama,Colorado,23.68162252867945
Alabama,Connecticut,0.9130543759424875
Alabama,Delaware,11.186041904964679
Alabama,Florida,552.2635593224525
Alabama,Georgia,4719.042816682098
Alabama,Illinois,414.8940817088478
Alabama,Indiana,1142.3753691702404
Alabama,Iowa,91.74149607564071
Alabama,Kansas,68.66429306484315
Alabama,Kentucky,888.1454124197921
Alabama,Louisiana,175.08095386462054
Alabama,Maryland,107.34909972556666
Alabama,Massachusetts,7.643684821008254
Alabama,Michigan,186.55225978730527
Alabama,Minnesota,38.613106568747654
Alabama,Mississippi,220.28653234891033
Alabama,Missouri,307.95386307092554
Alabama,Montana,6.935670634453856
Alabama,Nebraska,44.40119530904828
Alabama,Nevada,2.984830098477675
Alabama,New Hampshire,4.1375104620026395
Alabama,New Jersey,11.77079354490258
Alabama,New Mexico,8.476854869245111
Alabama,New York,32.33147637673562
Alabama,North Carolina,471.44860243859756
Alabama,North Dakota,53.18744100127681
Alabama,Ohio,798.4648122520364
Alabama,Oklahoma,79.81914060281466
Alabama,Oregon,1.7705503743837059
Alabama,Pennsylvania,359.3558432799376
Alabama,South Carolina,285.4313262649192
Alabama,South Dakota,6.879271914218459
Alabama,Tennessee,875.9974854194757
Alabama,Texas,480.55894573730285
Alabama,Utah,5.073975280538344
Alabama,Virginia,120.17352342991849
Alabama,Washington,1.933435125025605
Alabama,West Virginia,289.1896805411539
Alabama,Wisconsin,97.15332331018752
Alabama,Wyoming,25.78944675789755
Arizona,Alabama,0.677880260496909
Arizona,Arizona,203.8323544206902
Arizona,Arkansas,0.6820702331846067
Arizona,Colorado,10.09238621877627
Arizona,Connecticut,5.437429135835008e-06
Arizona,Delaware,0.0006559525821675091
Arizona,Florida,0.5782904674970948
Arizona,Georgia,0.19846774464692832
Arizona,Illinois,0.555891848848396
Arizona,Indiana,0.6057488161235498
Arizona,Iowa,0.9157805290885271
Arizona,Kansas,1.393653443034157
Arizona,Kentucky,0.2680116788620196
Arizona,Louisiana,1.094178458921576
Arizona,Maryland,0.005413019875764196
Arizona,Massachusetts,0.0002494054616734824
Arizona,Michigan,0.15645966239256273
Arizona,Minnesota,0.33781715346063773
Arizona,Mississippi,0.3835856955495292
Arizona,Missouri,1.3311194569974405
Arizona,Montana,1.4390972875188615
Arizona,Nebraska,2.9190573863724727
Arizona,Nevada,86.40745424601025
Arizona,New Hampshire,0.00015285084264822122
Arizona,New Jersey,0.00038626804353425465
Arizona,New Mexico,36.322895297954666
Arizona,New York,0.004613228928162499
Arizona,North Carolina,0.03580712084284178
Arizona,North Dakota,3.62119905633318
Arizona,Ohio,0.24170835788539657
Arizona,Oklahoma,1.7262799139741032
Arizona,Oregon,2.3197248584675445
Arizona,Pennsylvania,0.07181560296567027
Arizona,South Carolina,0.14900105644848555
Arizona,South Dakota,0.15686646659014206
Arizona,Tennessee,0.2143931842174595
Arizona,Texas,26.526862146747654
Arizona,Utah,29.581610710736637
Arizona,Virginia,0.009152238057188245
Arizona,Washington,1.815250236677748
Arizona,West Virginia,0.03199767304741466
Arizona,Wisconsin,0.22797683716793696
Arizona,Wyoming,18.251683087642864
Arkansas,Alabama,341.63164649631153
Arkansas,Arizona,16.500185677935576
Arkansas,Arkansas,433.5871621032886
Arkansas,Colorado,35.11937423927945
Arkansas,Connecticut,0.17074725744932293
Arkansas,Delaware,1.7908513337665763
Arkansas,Florida,87.73217147218722
Arkansas,Georgia,219.79120350171578
Arkansas,Illinois,350.99584771418523
Arkansas,Indiana,546.7151034989248
Arkansas,Iowa,93.14832134538023
Arkansas,Kansas,106.00883408487155
Arkansas,Kentucky,330.93294037055085
Arkansas,Louisiana,173.83473025332248
Arkansas,Maryland,17.664444958987048
Arkansas,Massachusetts,1.4530047786241642
Arkansas,Michigan,78.04789216718167
Arkansas,Minnesota,30.558150218716168
Arkansas,Mississippi,68.60935924384812
Arkansas,Missouri,429.1039848837794
Arkansas,Montana,8.231447387966337
Arkansas,Nebraska,59.43435475999597
Arkansas,Nevada,4.8303916065800685
Arkansas,New Hampshire,0.9360515535189208
Arkansas,New Jersey,2.1960130159404176
Arkansas,New Mexico,13.439648582593446
Arkansas,New York,8.467876118273637
Arkansas,North Carolina,69.47670943156143
Arkansas,North Dakota,53.59867688312591
Arkansas,Ohio,227.9262250464443
Arkansas,Oklahoma,146.3339233450225
Arkansas,Oregon,2.3413217745046864
Arkansas,Pennsylvania,79.749295305077
Arkansas,South Carolina,36.81604850435687
Arkansas,South Dakota,6.807605573812001
Arkansas,Tennessee,308.4382652569399
Arkansas,Texas,870.779089093404
Arkansas,Utah,8.28543787059492
Arkansas,Virginia,20.277399247272964
Arkansas,Washington,2.4341087131896515
Arkansas,West Virginia,73.60568879193195
Arkansas,Wisconsin,58.26823790140579
Arkansas,Wyoming,35.932154154483406
California,Alabama,0.09593177450398024
California,Arizona,55.17833026579248
California,Arkansas,0.18533255735417706
California,Colorado,7.5062735902884885
California,Connecticut,0.0
California,Delaware,0.0003820078566886448
California,Florida,0.016933611618976822
California,Georgia,0.050431845444614674
California,Illinois,0.5104734267617084
California,Indiana,0.2385846011264128
California,Iowa,0.48588212397655406
California,Kansas,0.30796450288290667
California,Kentucky,0.11483988355708989
California,Louisiana,0.28656618141031265
California,Maryland,0.004890513862938302
California,Massachusetts,0.003116262377129476
California,Michigan,0.07632710660653814
California,Minnesota,0.7027777099598402
California,Mississippi,0.024093726082661825
California,Missouri,0.2620871626769771
California,Montana,2.1430238813490123
California,Nebraska,1.5506091513420404
California,Nevada,152.70273313388765
California,New Hampshire,0.0011440708091669117
California,New Jersey,0.00030020323537087993
California,New Mexico,21.77065511539336
California,New York,0.0004553153722428238
California,North Carolina,0.004585990912915434
California,North Dakota,6.031965726052551
California,Ohio,0.0863795265245466
California,Oklahoma,0.42945973730449
California,Oregon,23.104552218229365
California,Pennsylvania,0.036084817310892296
California,South Carolina,0.005051687618495587
California,South Dakota,0.33423869651915206
California,Tennessee,0.08894191800402844
California,Texas,10.135945538510613
California,Utah,42.04896502655024
California,Virginia,0.002533690721503347
California,Washington,61.18949687022841
California,West Virginia,0.030154095754873326
California,Wisconsin,0.2690825024499166
California,Wyoming,21.181554605024335
Colorado,Alabama,1.3272810561689226
Colorado,Arizona,57.56884452595079
Colorado,Arkansas,1.0946322655755047
Colorado,Colorado,556.0306680933738
Colorado,Connecticut,0.0008565882811394217
Colorado,Delaware,0.013390486653165636
Colorado,Florida,0.707222575061327
Colorado,Georgia,0.8647195444333472
Colorado,Illinois,2.7973837487943207
Colorado,Indiana,3.074617156695729
Colorado,Iowa,3.825625783967988
Colorado,Kansas,4.45170934703993
Colorado,Kentucky,1.3476456571328785
Colorado,Louisiana,1.1025132571576428
Colorado,Maryland,0.10759212766154794
Colorado,Massachusetts,0.010021991264867892
Colorado,Michigan,1.2257229486548546
Colorado,Minnesota,1.4889374349048952
Colorado,Mississippi,0.4356148863568537
Colorado,Missouri,4.200835951824329
Colorado,Montana,5.974910079934754
Colorado,Nebraska,18.83657049231127
Colorado,Nevada,20.718560124655028
Colorado,New Hampshire,0.006524909692890892
Colorado,New Jersey,0.0171973075915768
Colorado,New Mexico,89.37730065081163
Colorado,New York,0.07175462200188146
Colorado,North Carolina,0.3959090548028103
Colorado,North Dakota,12.356380105656667
Colorado,Ohio,1.675356572075691
Colorado,Oklahoma,4.014888312178467
Colorado,Oregon,4.202506170556338
Colorado,Pennsylvania,0.6101492100175137
Colorado,South Carolina,0.20772688703785572
Colorado,South Dakota,0.5559089415843378
Colorado,Tennessee,0.868461291698827
Colorado,Texas,41.46286065629321
Colorado,Utah,54.44774572911095
Colorado,Virginia,0.11416624707880095
Colorado,Washington,3.3984735234923336
Colorado,West Virginia,0.5408684472537966
Colorado,Wisconsin,1.735791106922058
Colorado,Wyoming,118.45619640413787
Connecticut,Alabama,160.73395662344652
Connecticut,Arizona,3.105393643575081
Connecticut,Arkansas,30.709970230870745
Connecticut,Colorado,10.033052441456253
Connecticut,Connecticut,14.366610112976797
Connecticut,Delaware,47.291054193188614
Connecticut,Florida,72.58255521565019
Connecticut,Georgia,234.03689878600073
Connecticut,Illinois,197.9435862231829
Connecticut,Indiana,478.2155853264017
Connecticut,Iowa,57.5064904414306
Connecticut,Kansas,32.80728572092511
Connecticut,Kentucky,316.13713877829883
Connecticut,Louisiana,23.080465730074536
Connecticut,Maryland,333.8405678496408
Connecticut,Massachusetts,354.313239433899
Connecticut,Michigan,305.07208218402246
Connecticut,Minnesota,39.579528862097476
Connecticut,Mississippi,18.534179941448205
Connecticut,Missouri,125.97252578667063
Connecticut,Montana,4.549187127231881
Connecticut,Nebraska,24.298775085494324
Connecticut,Nevada,1.1575306606965685
Connecticut,New Hampshire,98.07749278176938
Connecticut,New Jersey,91.89954731304178
Connecticut,New Mexico,2.6986502616410832
Connecticut,New York,186.0949516607056
Connecticut,North Carolina,289.126813442243
Connecticut,North Dakota,42.571285865253316
Connecticut,Ohio,997.9343526800712
Connecticut,Oklahoma,28.437095133295184
Connecticut,Oregon,1.0979488238003219
Connecticut,Pennsylvania,1201.025758230249
Connecticut,South Carolina,100.59518320607724
Connecticut,South Dakota,5.725897971511314
Connecticut,Tennessee,156.4118675068132
Connecticut,Texas,110.51211313820089
Connecticut,Utah,1.9929904427910659
Connecticut,Virginia,183.14546602057266
Connecticut,Washington,1.4028508086410274
Connecticut,West Virginia,472.27716978658486
Connecticut,Wisconsin,94.78226688582555
Connecticut,Wyoming,12.710862458529611
DC,Alabama,40.74013368640159
DC,Arizona,0.5363506529033993
DC,Arkansas,6.346810788266098
DC,Colorado,1.7593999930388167
DC,Connecticut,0.8002504341594665
DC,Delaware,58.32427735525664
DC,Florida,17.24576578402723
DC,Georgia,62.81092206887639
DC,Illinois,36.54695073754725
DC,Indiana,96.23675523774762
DC,Iowa,9.705009350718743
DC,Kansas,5.713577510722086
DC,Kentucky,68.82422936073023
DC,Louisiana,5.257125765544483
DC,Maryland,146.91633880097436
DC,Massachusetts,4.907279036971556
DC,Michigan,48.96366022084362
DC,Minnesota,5.54110726446811
DC,Mississippi,4.4274986987988045
DC,Missouri,23.053861922047936
DC,Montana,0.7085120995422592
DC,Nebraska,4.133986286034556
DC,Nevada,0.17211413695622843
DC,New Hampshire,2.9180910702522347
DC,New Jersey,23.89636416553129
DC,New Mexico,0.4557087553401439
DC,New York,20.889246266809117
DC,North Carolina,90.63753038587006
DC,North Dakota,6.171055076279797
DC,Ohio,206.62755641719548
DC,Oklahoma,5.15254477983285
DC,Oregon,0.1721544066616962
DC,Pennsylvania,273.63690130668436
DC,South Carolina,27.726972010047348
DC,South Dakota,0.8648347043571112
DC,Tennessee,38.00678743046024
DC,Texas,21.8558108635594
DC,Utah,0.3347513717727721
DC,Virginia,71.72588063863195
DC,Washington,0.2000042916547897
DC,West Virginia,106.58042833073924
DC,Wisconsin,14.214080831831605
DC,Wyoming,2.1112346635534007
Delaware,Alabama,53.32367037331349
Delaware,Arizona,0.786683690235657
Delaware,Arkansas,9.421342730541085
Delaware,Colorado,2.577849784131164
Delaware,Connecticut,2.1434875901889945
Delaware,Delaware,24.063229890047666
Delaware,Florida,24.31535363548409
Delaware,Georgia,81.65591589331933
Delaware,Illinois,51.609154205248906
Delaware,Indiana,132.43738829561002
Delaware,Iowa,14.305602194178503
Delaware,Kansas,8.210926618115172
Delaware,Kentucky,92.90776335150561
Delaware,Louisiana,7.595132941875595
Delaware,Maryland,128.71112411355878
Delaware,Massachusetts,11.183158276423232
Delaware,Michigan,73.48851581694905
Delaware,Minnesota,8.74624825545915
Delaware,Mississippi,6.304453572792176
Delaware,Missouri,33.950226928814146
Delaware,Montana,1.090459768843516
Delaware,Nebraska,6.294771915341349
Delaware,Nevada,0.26238226577410495
