state_zip,FacID,FacID,Facility.Latitude,Facility.Longitude,state_facility,deaths_coef_2
Alabama,3,3,31.0069,-88.0103,Alabama,195.08107451944053
Alabama,7,7,34.0128,-85.9708,Alabama,103.23974857101065
Alabama,8,8,33.6446,-87.2003,Alabama,351.37693652499763
Alabama,10,10,32.6017,-87.7811,Alabama,207.34393210441414
Alabama,26,26,33.2442,-86.4567,Alabama,994.9232050403077
Alabama,47,47,34.7439,-87.8486,Alabama,182.67608536143933
Alabama,50,50,34.8825,-85.7547,Alabama,316.5344410647298
Alabama,51,51,32.0306,-93.5692,Louisiana,32.22402791073785
Alabama,56,56,31.4858,-87.9106,Alabama,62.557816125046294
Alabama,59,59,40.8538,-98.3481,Nebraska,1.3203739511944823
Alabama,60,60,40.5806,-98.3106,Nebraska,1.4594780306556827
Alabama,87,87,35.4159,-108.082,New Mexico,0.2955894129610582
Alabama,108,108,37.9306,-100.9725,Kansas,0.9331447832280139
Alabama,113,113,34.9394,-110.3033,Arizona,2.9675230773485612
Alabama,126,126,32.16,-110.9047,Arizona,0.4018261787187722
Alabama,127,127,34.0825,-99.1753,Texas,2.46561859984895
Alabama,130,130,33.3692,-80.1119,South Carolina,17.24931505494839
Alabama,136,136,29.7333,-81.6339,Florida,40.89287237849393
Alabama,160,160,32.0619,-109.8931,Arizona,0.7784874366322982
Alabama,165,165,36.1906,-95.2889,Oklahoma,14.771929375226353
Alabama,207,207,30.4311,-81.5508,Florida,30.129845432935017
Alabama,298,298,31.4219,-96.2525,Texas,23.210188400647038
Alabama,384,384,41.4947,-88.125,Illinois,15.186457239169396
Alabama,465,465,39.67,-105.0028,Colorado,1.031977686995096
Alabama,468,468,39.1486,-108.3189,Colorado,0.383014388730057
Alabama,469,469,39.8034,-104.9458,Colorado,3.57882925208903
Alabama,470,470,38.2081,-104.5747,Colorado,4.349028688164888
Alabama,477,477,40.0195,-105.202,Colorado,0.6558911983368751
Alabama,492,492,38.8244,-104.8331,Colorado,2.826861171379597
Alabama,508,508,38.0921,-102.6148,Colorado,0.0067656872180622
Alabama,525,525,40.4856,-107.185,Colorado,1.0174954827331064
Alabama,527,527,38.2387,-108.5083,Colorado,0.3051119651210865
Alabama,564,564,28.4836,-81.1686,Florida,9.223260892070778
Alabama,568,568,41.1706,-73.1843,Connecticut,0.9130543759424875
Alabama,593,593,39.7372,-75.5033,Delaware,2.1982179713502057
Alabama,594,594,38.5857,-75.2341,Delaware,8.987823933614473
